[595, 454]
[paragraph, [218.0, 41.0, 68.0, 18.0], 8NOeQA_01l, 6459930]
[paragraph, [220.0, 57.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 75.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 93.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 111.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 129.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 147.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 165.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 183.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [220.0, 201.0, 204.0, 18.0], AfqJp-0kwb, 6459930]
[paragraph, [224.0, 217.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [224.0, 235.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [224.0, 253.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [224.0, 271.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [224.0, 289.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [224.0, 307.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [224.0, 325.0, 205.0, 18.0], bL4JI1I6u9, 6459930]
[paragraph, [20.0, 276.0, 207.0, 18.0], shoonya_0sIC7HINMURJEY, 6459930]
[paragraph, [20.0, 294.0, 207.0, 18.0], shoonya_0sIC7HINMURJEY, 6459930]
[paragraph, [20.0, 312.0, 207.0, 18.0], shoonya_0sIC7HINMURJEY, 6459930]
[paragraph, [26.0, 338.0, 202.0, 18.0], UoCdJfgtPL, 6459930]
[paragraph, [26.0, 356.0, 202.0, 18.0], UoCdJfgtPL, 6459930]
[paragraph, [26.0, 374.0, 202.0, 18.0], UoCdJfgtPL, 6459930]
[paragraph, [26.0, 392.0, 202.0, 18.0], UoCdJfgtPL, 6459930]
[paragraph, [26.0, 410.0, 202.0, 18.0], UoCdJfgtPL, 6459930]
[paragraph, [230.0, 357.0, 199.0, 18.0], xs_oymnjU2, 6459930]
[paragraph, [230.0, 375.0, 199.0, 18.0], xs_oymnjU2, 6459930]
[paragraph, [230.0, 393.0, 199.0, 18.0], xs_oymnjU2, 6459930]
[paragraph, [230.0, 411.0, 199.0, 18.0], xs_oymnjU2, 6459930]
[paragraph, [230.0, 429.0, 199.0, 18.0], xs_oymnjU2, 6459930]
[paragraph, [230.0, 447.0, 199.0, 18.0], xs_oymnjU2, 6459930]
[paragraph, [23.0, 435.0, 205.0, 18.0], rrKhonv_d4, 6459930]
[paragraph, [23.0, 453.0, 205.0, 18.0], rrKhonv_d4, 6459930]
[paragraph, [23.0, 471.0, 205.0, 18.0], rrKhonv_d4, 6459930]
[paragraph, [23.0, 489.0, 205.0, 18.0], rrKhonv_d4, 6459930]
[paragraph, [23.0, 507.0, 205.0, 18.0], rrKhonv_d4, 6459930]
[paragraph, [23.0, 525.0, 205.0, 18.0], rrKhonv_d4, 6459930]
[paragraph, [230.0, 475.0, 197.0, 18.0], XV7ecsAqMN, 6459930]
[paragraph, [230.0, 493.0, 197.0, 18.0], XV7ecsAqMN, 6459930]
[paragraph, [230.0, 511.0, 197.0, 18.0], XV7ecsAqMN, 6459930]
[paragraph, [230.0, 529.0, 197.0, 18.0], XV7ecsAqMN, 6459930]
[folio, [355.0, 559.0, 81.0, 18.0], shoonya_8sTB6VOXW4QJE2, 6459930]
