[1755, 1241]
[section-title, [460.0, 139.0, 308.0, 49.5], shoonya_0sXAVFB52XGJRX, 5781461]
[section-title, [460.0, 188.5, 308.0, 49.5], shoonya_0sXAVFB52XGJRX, 5781461]
[sub-section-title, [529.0, 345.0, 179.0, 36.0], IgZYWn-PdC, 5781461]
[paragraph, [175.0, 401.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 437.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 473.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 509.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 545.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 581.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 617.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 653.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 689.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 725.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 761.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 797.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 833.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
[paragraph, [175.0, 869.0, 899.0, 36.0], FF2b1Akhg8, 5781461]
