[679, 512]
[contact-info, [48.0, 55.0, 99.0, 18.0], nqqpUYoehQ, 6496079]
[contact-info, [48.0, 73.0, 99.0, 18.0], nqqpUYoehQ, 6496079]
[contact-info, [48.0, 91.0, 99.0, 18.0], nqqpUYoehQ, 6496079]
[contact-info, [48.0, 109.0, 99.0, 18.0], nqqpUYoehQ, 6496079]
[contact-info, [341.0, 56.0, 102.0, 18.0], Cp0O4ntBWZ, 6496079]
[contact-info, [341.0, 74.0, 102.0, 18.0], Cp0O4ntBWZ, 6496079]
[contact-info, [341.0, 92.0, 102.0, 18.0], Cp0O4ntBWZ, 6496079]
[contact-info, [341.0, 110.0, 102.0, 18.0], Cp0O4ntBWZ, 6496079]
[section-title, [149.0, 69.0, 188.0, 30.0], Kh2d7kGVJc, 6496079]
[paragraph, [45.0, 167.0, 228.0, 18.0], JzGQvS0TVF, 6496079]
[paragraph, [45.0, 185.0, 228.0, 18.0], JzGQvS0TVF, 6496079]
[paragraph, [62.0, 220.0, 380.0, 18.0], 8iuSnOgfnE, 6496079]
[paragraph, [45.0, 259.0, 405.0, 18.0], zwFcT_gEwD, 6496079]
[paragraph, [45.0, 277.0, 405.0, 18.0], zwFcT_gEwD, 6496079]
[paragraph, [45.0, 295.0, 405.0, 18.0], zwFcT_gEwD, 6496079]
[paragraph, [43.0, 316.0, 406.0, 18.0], 6xj8AcPonu, 6496079]
[paragraph, [43.0, 334.0, 406.0, 18.0], 6xj8AcPonu, 6496079]
[paragraph, [43.0, 352.0, 406.0, 18.0], 6xj8AcPonu, 6496079]
[paragraph, [43.0, 370.0, 406.0, 18.0], 6xj8AcPonu, 6496079]
[paragraph, [44.0, 393.0, 402.0, 18.0], 9BK_Ie9s60, 6496079]
[paragraph, [44.0, 411.0, 402.0, 18.0], 9BK_Ie9s60, 6496079]
[paragraph, [44.0, 429.0, 402.0, 18.0], 9BK_Ie9s60, 6496079]
[paragraph, [43.0, 458.0, 399.0, 18.0], FX1uYr5oGQ, 6496079]
[paragraph, [43.0, 476.0, 399.0, 18.0], FX1uYr5oGQ, 6496079]
[contact-info, [323.0, 512.0, 114.0, 18.0], dcAZGHSCfC, 6496079]
[contact-info, [323.0, 530.0, 114.0, 18.0], dcAZGHSCfC, 6496079]
[contact-info, [323.0, 548.0, 114.0, 18.0], dcAZGHSCfC, 6496079]
[contact-info, [323.0, 566.0, 114.0, 18.0], dcAZGHSCfC, 6496079]
[folio, [142.0, 626.0, 172.0, 18.0], vA8of5zCfA, 6496079]
