[2339, 1656]
[paragraph, [184.0, 188.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 224.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 260.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 296.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 332.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 368.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 404.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 440.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 476.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 512.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 548.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 584.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 620.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 656.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 692.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [184.0, 728.0, 1282.0, 36.0], shoonya_0sZ3TB04CHCESR, 5753050]
[paragraph, [187.0, 828.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 864.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 900.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 936.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 972.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 1008.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 1044.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 1080.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 1116.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [187.0, 1152.0, 1277.0, 36.0], shoonya_2sCU70SE0OZGVL, 5753050]
[paragraph, [184.0, 1246.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1282.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1318.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1354.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1390.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1426.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1462.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1498.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1534.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1570.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1606.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1642.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1678.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1714.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1750.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1786.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1822.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1858.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1894.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1930.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 1966.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 2002.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 2038.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[paragraph, [184.0, 2074.0, 1288.0, 36.0], shoonya_1sVOD7VCNK8H3M, 5753050]
[folio, [279.0, 2148.0, 507.0, 36.0], TnOFQ3UE4d, 5753050]
