[2174, 1427]
[folio, [142.0, 116.0, 187.0, 36.0], pBHhoaedWN, 5654918]
[paragraph, [133.0, 231.0, 1201.0, 36.0], zCGM9CR6v7, 5654918]
[paragraph, [133.0, 267.0, 1201.0, 36.0], zCGM9CR6v7, 5654918]
[paragraph, [133.0, 303.0, 1201.0, 36.0], zCGM9CR6v7, 5654918]
[paragraph, [133.0, 339.0, 1201.0, 36.0], zCGM9CR6v7, 5654918]
[ordered-list, [149.0, 408.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 444.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 480.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 516.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 552.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 588.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 624.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 660.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 696.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 732.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 768.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 804.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 840.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 876.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 912.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 948.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 984.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 1020.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[ordered-list, [149.0, 1056.0, 1184.0, 36.0], 8S4R37tmRl, 5654918]
[section-title, [131.0, 1095.0, 794.0, 52.5], jhiWseuO-m, 5654918]
[ordered-list, [142.0, 1194.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1230.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1266.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1302.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1338.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1374.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1410.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1446.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1482.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1518.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1554.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1590.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1626.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1662.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1698.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[ordered-list, [142.0, 1734.0, 1206.0, 36.0], B4V1Br1G_V, 5654918]
[sub-ordered-list, [160.0, 1298.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1334.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1370.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1406.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1442.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1478.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1514.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1550.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1586.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1622.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1658.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[sub-ordered-list, [160.0, 1694.0, 1171.0, 36.0], xzyT1M2aSk, 5654918]
[reference, [138.0, 1782.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
[reference, [138.0, 1818.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
[reference, [138.0, 1854.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
[reference, [138.0, 1890.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
[reference, [138.0, 1926.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
[reference, [138.0, 1962.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
[reference, [138.0, 1998.0, 534.0, 36.0], shoonya_7s36DDFNVXT5BW, 5654918]
