[2339, 1654]
[folio, [156.0, 79.0, 353.0, 36.0], shoonya_4s1DK5PD9EL5LS, 5750607]
[paragraph, [273.0, 124.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 160.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 196.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 232.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 268.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 304.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 340.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [273.0, 376.0, 1205.0, 36.0], shoonya_6sMBAH0LL8FEPD, 5750607]
[paragraph, [143.0, 521.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 557.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 593.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 629.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 665.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 701.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 737.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 773.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 809.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 845.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 881.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
[paragraph, [143.0, 917.0, 1444.0, 36.0], shoonya_2sWMHWLWUF84UU, 5750607]
