[1240, 1755]
[sidebar, [664.0, 133.0, 105.0, 18.0], uXH2hraUqu, 5729303]
[sidebar, [664.0, 151.0, 105.0, 18.0], uXH2hraUqu, 5729303]
[second-level-question, [1022.0, 136.0, 594.0, 18.0], kNMwIseWjo, 5729303]
[second-level-question, [1022.0, 154.0, 594.0, 18.0], kNMwIseWjo, 5729303]
[second-level-question, [1022.0, 172.0, 594.0, 18.0], kNMwIseWjo, 5729303]
[second-level-question, [1022.0, 190.0, 594.0, 18.0], kNMwIseWjo, 5729303]
[second-level-question, [177.0, 195.0, 605.0, 18.0], pcrRNsf-9Y, 5729303]
[second-level-question, [177.0, 213.0, 605.0, 18.0], pcrRNsf-9Y, 5729303]
[second-level-question, [177.0, 231.0, 605.0, 18.0], pcrRNsf-9Y, 5729303]
[second-level-question, [177.0, 249.0, 605.0, 18.0], pcrRNsf-9Y, 5729303]
[second-level-question, [1024.0, 220.0, 613.0, 18.0], shoonya_0sXLDWIPDYJHAT, 5729303]
[second-level-question, [1024.0, 238.0, 613.0, 18.0], shoonya_0sXLDWIPDYJHAT, 5729303]
[second-level-question, [1024.0, 256.0, 613.0, 18.0], shoonya_0sXLDWIPDYJHAT, 5729303]
[second-level-question, [1024.0, 274.0, 613.0, 18.0], shoonya_0sXLDWIPDYJHAT, 5729303]
[second-level-question, [1024.0, 292.0, 613.0, 18.0], shoonya_0sXLDWIPDYJHAT, 5729303]
[second-level-question, [175.0, 280.0, 500.0, 18.0], 0ryiCkckuf, 5729303]
[second-level-question, [175.0, 298.0, 500.0, 18.0], 0ryiCkckuf, 5729303]
[second-level-question, [175.0, 316.0, 500.0, 18.0], 0ryiCkckuf, 5729303]
[second-level-question, [175.0, 334.0, 500.0, 18.0], 0ryiCkckuf, 5729303]
[second-level-question, [1022.0, 324.0, 603.0, 18.0], f68VbB9vvm, 5729303]
[second-level-question, [1022.0, 342.0, 603.0, 18.0], f68VbB9vvm, 5729303]
[second-level-question, [1022.0, 360.0, 603.0, 18.0], f68VbB9vvm, 5729303]
[second-level-question, [1022.0, 378.0, 603.0, 18.0], f68VbB9vvm, 5729303]
[second-level-question, [1022.0, 396.0, 603.0, 18.0], f68VbB9vvm, 5729303]
[second-level-question, [175.0, 359.0, 601.0, 18.0], I33C5RtUE1, 5729303]
[second-level-question, [175.0, 377.0, 601.0, 18.0], I33C5RtUE1, 5729303]
[second-level-question, [175.0, 395.0, 601.0, 18.0], I33C5RtUE1, 5729303]
[second-level-question, [175.0, 413.0, 601.0, 18.0], I33C5RtUE1, 5729303]
[second-level-question, [175.0, 431.0, 601.0, 18.0], I33C5RtUE1, 5729303]
[second-level-question, [1024.0, 436.0, 594.0, 18.0], 6G_8JPCYni, 5729303]
[second-level-question, [1024.0, 454.0, 594.0, 18.0], 6G_8JPCYni, 5729303]
[second-level-question, [1024.0, 472.0, 594.0, 18.0], 6G_8JPCYni, 5729303]
[second-level-question, [1024.0, 490.0, 594.0, 18.0], 6G_8JPCYni, 5729303]
[second-level-question, [175.0, 469.0, 397.0, 18.0], 7bZD2-kK4s, 5729303]
[second-level-question, [175.0, 487.0, 397.0, 18.0], 7bZD2-kK4s, 5729303]
[second-level-question, [175.0, 520.0, 601.0, 18.0], VpjBpdtlO4, 5729303]
[second-level-question, [175.0, 538.0, 601.0, 18.0], VpjBpdtlO4, 5729303]
[second-level-question, [175.0, 556.0, 601.0, 18.0], VpjBpdtlO4, 5729303]
[second-level-question, [175.0, 574.0, 601.0, 18.0], VpjBpdtlO4, 5729303]
[sidebar, [1504.0, 557.0, 111.0, 18.0], nYug9tg4WC, 5729303]
[sidebar, [1504.0, 575.0, 111.0, 18.0], nYug9tg4WC, 5729303]
[second-level-question, [1024.0, 605.0, 603.0, 18.0], fqoAw-ovxh, 5729303]
[second-level-question, [1024.0, 623.0, 603.0, 18.0], fqoAw-ovxh, 5729303]
[second-level-question, [1024.0, 641.0, 603.0, 18.0], fqoAw-ovxh, 5729303]
[second-level-question, [1024.0, 659.0, 603.0, 18.0], fqoAw-ovxh, 5729303]
[sidebar, [662.0, 651.0, 105.0, 18.0], chfoMCqbZf, 5729303]
[sidebar, [662.0, 669.0, 105.0, 18.0], chfoMCqbZf, 5729303]
[second-level-question, [1024.0, 686.0, 598.0, 18.0], hegI6W_Vi6, 5729303]
[second-level-question, [1024.0, 704.0, 598.0, 18.0], hegI6W_Vi6, 5729303]
[second-level-question, [1024.0, 722.0, 598.0, 18.0], hegI6W_Vi6, 5729303]
[second-level-question, [1024.0, 740.0, 598.0, 18.0], hegI6W_Vi6, 5729303]
[second-level-question, [1024.0, 758.0, 598.0, 18.0], hegI6W_Vi6, 5729303]
[second-level-question, [173.0, 701.0, 608.0, 18.0], shoonya_3sXKABV3TKSIO3, 5729303]
[second-level-question, [173.0, 719.0, 608.0, 18.0], shoonya_3sXKABV3TKSIO3, 5729303]
[second-level-question, [173.0, 737.0, 608.0, 18.0], shoonya_3sXKABV3TKSIO3, 5729303]
[second-level-question, [173.0, 755.0, 608.0, 18.0], shoonya_3sXKABV3TKSIO3, 5729303]
[second-level-question, [173.0, 773.0, 608.0, 18.0], shoonya_3sXKABV3TKSIO3, 5729303]
[second-level-question, [1026.0, 801.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 819.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 837.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 855.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 873.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 891.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 909.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 927.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [1026.0, 945.0, 598.0, 18.0], yYyTIzXyIj, 5729303]
[second-level-question, [171.0, 807.0, 605.0, 18.0], vpGP7OyBOF, 5729303]
[second-level-question, [171.0, 825.0, 605.0, 18.0], vpGP7OyBOF, 5729303]
[second-level-question, [171.0, 843.0, 605.0, 18.0], vpGP7OyBOF, 5729303]
[second-level-question, [171.0, 861.0, 605.0, 18.0], vpGP7OyBOF, 5729303]
[second-level-question, [171.0, 879.0, 605.0, 18.0], vpGP7OyBOF, 5729303]
[second-level-question, [171.0, 915.0, 605.0, 18.0], yy31uSFr22, 5729303]
[second-level-question, [171.0, 933.0, 605.0, 18.0], yy31uSFr22, 5729303]
[second-level-question, [171.0, 951.0, 605.0, 18.0], yy31uSFr22, 5729303]
[second-level-question, [171.0, 969.0, 605.0, 18.0], yy31uSFr22, 5729303]
[second-level-question, [171.0, 987.0, 605.0, 18.0], yy31uSFr22, 5729303]
[second-level-question, [173.0, 1024.0, 596.0, 18.0], _qc_AhMtsW, 5729303]
[second-level-question, [173.0, 1042.0, 596.0, 18.0], _qc_AhMtsW, 5729303]
[second-level-question, [173.0, 1060.0, 596.0, 18.0], _qc_AhMtsW, 5729303]
[second-level-question, [173.0, 1078.0, 596.0, 18.0], _qc_AhMtsW, 5729303]
