[792, 612]
[folio, [370.0, 37.0, 104.0, 18.0], mvojBtDz1n, 6493293]
[paragraph, [80.0, 66.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 84.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 102.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 120.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 138.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 156.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 174.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 192.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 210.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [80.0, 228.0, 429.0, 18.0], shoonya_0sMF8V80I71NKK, 6493293]
[paragraph, [90.0, 261.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 279.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 297.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 315.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 333.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 351.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 369.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 387.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 405.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 423.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 441.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 459.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 477.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 495.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 513.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 531.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 549.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 567.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 585.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 603.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 621.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 639.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 657.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 675.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 693.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 711.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
[paragraph, [90.0, 729.0, 420.0, 18.0], shoonya_1sWEO1KTKDH15K, 6493293]
