[1238, 709]
[folio, [562.0, 7.0, 115.0, 18.0], shoonya_0s9DN9X80XYXGA, 5782164]
[folio, [562.0, 25.0, 115.0, 18.0], shoonya_0s9DN9X80XYXGA, 5782164]
[section-title, [273.0, 57.0, 145.0, 30.0], fVKeLR8Df4, 5782164]
[ordered-list, [5.0, 95.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 113.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 131.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 149.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 167.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 185.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 203.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 221.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 239.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 257.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 275.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 293.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 311.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 329.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 347.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 365.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 383.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 401.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 419.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 437.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 455.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 473.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 491.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 509.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 527.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 545.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 563.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 581.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 599.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 617.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 635.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 653.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 671.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 689.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 707.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 725.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 743.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 761.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 779.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 797.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 815.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 833.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 851.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 869.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 887.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 905.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 923.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 941.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 959.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 977.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 995.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1013.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1031.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1049.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1067.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1085.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1103.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1121.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[ordered-list, [5.0, 1139.0, 678.0, 18.0], M7y-f3d7ze, 5782164]
[sub-ordered-list, [10.0, 124.0, 670.0, 18.0], eozKNsIrMm, 5782164]
[sub-ordered-list, [10.0, 142.0, 670.0, 18.0], eozKNsIrMm, 5782164]
[sub-ordered-list, [10.0, 160.0, 670.0, 18.0], eozKNsIrMm, 5782164]
[sub-ordered-list, [10.0, 178.0, 670.0, 18.0], eozKNsIrMm, 5782164]
[sub-ordered-list, [10.0, 196.0, 670.0, 18.0], eozKNsIrMm, 5782164]
