[595, 454]
[paragraph, [286.0, 25.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 43.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 61.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 79.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 97.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 115.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 133.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 151.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [286.0, 169.0, 154.0, 18.0], Y61wGK4Hmr, 6459831]
[paragraph, [31.0, 215.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 233.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 251.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 269.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 287.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 305.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 323.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [31.0, 341.0, 162.0, 18.0], yXGi7LWXLg, 6459831]
[paragraph, [280.0, 387.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 405.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 423.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 441.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 459.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 477.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 495.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 513.0, 163.0, 18.0], L593JKEdo8, 6459831]
[paragraph, [280.0, 531.0, 163.0, 18.0], L593JKEdo8, 6459831]
