[1723, 1092]
[paragraph, [100.0, 105.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 141.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 177.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 213.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 249.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 285.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 321.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [100.0, 357.0, 888.0, 36.0], shoonya_1sQ04AROCV33LF, 5681396]
[paragraph, [96.0, 409.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 445.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 481.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 517.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 553.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 589.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 625.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 661.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 697.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 733.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 769.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 805.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 841.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 877.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 913.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 949.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 985.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 1021.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 1057.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 1093.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 1129.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 1165.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [96.0, 1201.0, 889.0, 36.0], AYOnm6SKP8, 5681396]
[paragraph, [105.0, 1259.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [105.0, 1295.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [105.0, 1331.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [105.0, 1367.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [105.0, 1403.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [105.0, 1439.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [105.0, 1475.0, 881.0, 36.0], shoonya_0sURZCM3AAKE59, 5681396]
[paragraph, [153.0, 1525.0, 832.0, 36.0], 5B95oYdDia, 5681396]
