[843, 595]
[section-title, [34.0, 1.0, 417.0, 30.0], 4tYUw3NQ5F, 5716207]
[section-title, [351.0, 71.0, 126.0, 30.0], cE_aJKJWB_, 5716207]
[paragraph, [29.0, 106.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 124.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 142.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 160.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 178.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 196.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 214.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [29.0, 232.0, 259.0, 18.0], HwyaNXt3a4, 5716207]
[paragraph, [326.0, 110.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 128.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 146.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 164.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 182.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 200.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 218.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[paragraph, [326.0, 236.0, 248.0, 18.0], iRG3h29Z9d, 5716207]
[section-title, [77.0, 292.0, 139.0, 30.0], 4MRNyZAuJb, 5716207]
[paragraph, [39.0, 329.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 347.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 365.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 383.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 401.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 419.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 437.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [39.0, 455.0, 259.0, 18.0], _mOVV2VEq5, 5716207]
[paragraph, [324.0, 332.0, 240.0, 18.0], c4ooyBp5TU, 5716207]
[paragraph, [324.0, 350.0, 240.0, 18.0], c4ooyBp5TU, 5716207]
[paragraph, [324.0, 368.0, 240.0, 18.0], c4ooyBp5TU, 5716207]
[paragraph, [324.0, 386.0, 240.0, 18.0], c4ooyBp5TU, 5716207]
[paragraph, [324.0, 404.0, 240.0, 18.0], c4ooyBp5TU, 5716207]
[paragraph, [328.0, 539.0, 253.0, 18.0], aB2RBNte7g, 5716207]
[paragraph, [328.0, 557.0, 253.0, 18.0], aB2RBNte7g, 5716207]
[paragraph, [328.0, 575.0, 253.0, 18.0], aB2RBNte7g, 5716207]
[paragraph, [328.0, 593.0, 253.0, 18.0], aB2RBNte7g, 5716207]
[paragraph, [42.0, 543.0, 254.0, 18.0], 4b_Jw7-ic7, 5716207]
[paragraph, [42.0, 561.0, 254.0, 18.0], 4b_Jw7-ic7, 5716207]
[paragraph, [41.0, 581.0, 252.0, 18.0], DZ57YFt1O0, 5716207]
[paragraph, [41.0, 599.0, 252.0, 18.0], DZ57YFt1O0, 5716207]
[paragraph, [41.0, 617.0, 252.0, 18.0], DZ57YFt1O0, 5716207]
[paragraph, [41.0, 635.0, 252.0, 18.0], DZ57YFt1O0, 5716207]
[paragraph, [41.0, 653.0, 252.0, 18.0], DZ57YFt1O0, 5716207]
