[1755, 1240]
[folio, [643.0, 77.0, 477.0, 36.0], KM48H9vGIA, 5743844]
[paragraph, [198.0, 207.0, 939.0, 36.0], aJ7KuXqvvh, 5743844]
[paragraph, [198.0, 243.0, 939.0, 36.0], aJ7KuXqvvh, 5743844]
[paragraph, [198.0, 279.0, 939.0, 36.0], aJ7KuXqvvh, 5743844]
[paragraph, [198.0, 315.0, 939.0, 36.0], aJ7KuXqvvh, 5743844]
[paragraph, [196.0, 360.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 396.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 432.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 468.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 504.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 540.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 576.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 612.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 648.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 684.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 720.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [196.0, 756.0, 930.0, 36.0], shoonya_2s4X4WQOXSWM8W, 5743844]
[paragraph, [199.0, 832.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 868.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 904.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 940.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 976.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1012.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1048.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1084.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1120.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1156.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1192.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1228.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1264.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1300.0, 929.0, 36.0], shoonya_0sJSCSHSR9SA7D, 5743844]
[paragraph, [199.0, 1353.0, 933.0, 36.0], shoonya_3sWMXB41FTRMFQ, 5743844]
[paragraph, [199.0, 1389.0, 933.0, 36.0], shoonya_3sWMXB41FTRMFQ, 5743844]
[paragraph, [199.0, 1425.0, 933.0, 36.0], shoonya_3sWMXB41FTRMFQ, 5743844]
[paragraph, [199.0, 1461.0, 933.0, 36.0], shoonya_3sWMXB41FTRMFQ, 5743844]
[paragraph, [199.0, 1497.0, 933.0, 36.0], shoonya_3sWMXB41FTRMFQ, 5743844]
[paragraph, [199.0, 1533.0, 933.0, 36.0], shoonya_3sWMXB41FTRMFQ, 5743844]
