[1754, 1241]
[section-title, [529.0, 185.0, 250.0, 49.5], b7noI8UlMz, 6470877]
[section-title, [529.0, 234.5, 250.0, 49.5], b7noI8UlMz, 6470877]
[sub-section-title, [217.0, 397.0, 155.0, 36.0], shoonya_5sI2OJNDPNMMRN, 6470877]
[paragraph, [215.0, 457.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 493.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 529.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 565.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 601.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 637.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 673.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 709.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 745.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [215.0, 781.0, 885.0, 36.0], shoonya_2s03RJTYOXB17B, 6470877]
[paragraph, [207.0, 861.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 897.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 933.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 969.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 1005.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 1041.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 1077.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 1113.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 1149.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [207.0, 1185.0, 892.0, 36.0], shoonya_0sAMSPA856J1F3, 6470877]
[paragraph, [213.0, 1260.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
[paragraph, [213.0, 1296.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
[paragraph, [213.0, 1332.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
[paragraph, [213.0, 1368.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
[paragraph, [213.0, 1404.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
[paragraph, [213.0, 1440.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
[paragraph, [213.0, 1476.0, 887.0, 36.0], shoonya_1s6JT5SR220S0B, 6470877]
