[1684, 1191]
[folio, [382.0, 83.0, 422.0, 36.0], xdHjqmd_6J, 6464224]
[folio, [382.0, 119.0, 422.0, 36.0], xdHjqmd_6J, 6464224]
[paragraph, [81.0, 190.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 226.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 262.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 298.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 334.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 370.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 406.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 442.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 478.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 514.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 550.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 586.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 622.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 658.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 694.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 730.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 766.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 802.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 838.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 874.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 910.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 946.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[paragraph, [81.0, 982.0, 1031.0, 36.0], shoonya_1sWG66P14376ON, 6464224]
[section-title, [409.0, 1044.0, 404.0, 49.5], shoonya_3sXPIFTFFDKRTN, 6464224]
[paragraph, [102.0, 1126.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1162.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1198.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1234.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1270.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1306.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1342.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1378.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1414.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
[paragraph, [102.0, 1450.0, 1043.0, 36.0], shoonya_0s1J56B9BPWM6S, 6464224]
