[2339, 1653]
[paragraph, [248.0, 247.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 283.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 319.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 355.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 391.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 427.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 463.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 499.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 535.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [248.0, 571.0, 1155.0, 36.0], shoonya_0s6VMM94Y0BDGL, 5685705]
[paragraph, [242.0, 646.0, 1160.0, 36.0], shoonya_4s1FVCMVJQONJY, 5685705]
[paragraph, [242.0, 682.0, 1160.0, 36.0], shoonya_4s1FVCMVJQONJY, 5685705]
[paragraph, [242.0, 718.0, 1160.0, 36.0], shoonya_4s1FVCMVJQONJY, 5685705]
[paragraph, [247.0, 910.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 946.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 982.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1018.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1054.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1090.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1126.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1162.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1198.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1234.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1270.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1306.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1342.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1378.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1414.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1450.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1486.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1522.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1558.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1594.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1630.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1666.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1702.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1738.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1774.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1810.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1846.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1882.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1918.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1954.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 1990.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 2026.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
[paragraph, [247.0, 2062.0, 1158.0, 36.0], shoonya_1sKQC7BPO4PFLH, 5685705]
