[2078, 1512]
[folio, [61.0, 13.0, 652.0, 36.0], 3zyC4sgqFc, 5712677]
[folio, [61.0, 49.0, 652.0, 36.0], 3zyC4sgqFc, 5712677]
[paragraph, [47.0, 380.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 416.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 452.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 488.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 524.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 560.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 596.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 632.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 668.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 704.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 740.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 776.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 812.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 848.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 884.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 920.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 956.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 992.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 1028.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 1064.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [47.0, 1100.0, 676.0, 36.0], shoonya_0sKHTZMDG15J2M, 5712677]
[paragraph, [726.0, 396.0, 681.0, 36.0], shoonya_5s38HTBLJVLH6W, 5712677]
[paragraph, [726.0, 432.0, 681.0, 36.0], shoonya_5s38HTBLJVLH6W, 5712677]
[paragraph, [726.0, 468.0, 681.0, 36.0], shoonya_5s38HTBLJVLH6W, 5712677]
