[1650, 1275]
[paragraph, [594.0, 202.0, 425.0, 36.0], shoonya_3s3D7TJVHTFLIH, 6472290]
[paragraph, [594.0, 238.0, 425.0, 36.0], shoonya_3s3D7TJVHTFLIH, 6472290]
[paragraph, [594.0, 274.0, 425.0, 36.0], shoonya_3s3D7TJVHTFLIH, 6472290]
[paragraph, [143.0, 208.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 244.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 280.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 316.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 352.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 388.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 424.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 460.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 496.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 532.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [143.0, 568.0, 445.0, 36.0], shoonya_1s0XTUNIPL8OJB, 6472290]
[paragraph, [594.0, 325.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 361.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 397.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 433.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 469.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 505.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 541.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 577.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 613.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 649.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 685.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 721.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [594.0, 757.0, 426.0, 36.0], 321-Z1h90T, 6472290]
[paragraph, [140.0, 624.0, 446.0, 36.0], shoonya_2sS2IAYLXSH5CF, 6472290]
[paragraph, [140.0, 660.0, 446.0, 36.0], shoonya_2sS2IAYLXSH5CF, 6472290]
[paragraph, [140.0, 696.0, 446.0, 36.0], shoonya_2sS2IAYLXSH5CF, 6472290]
[paragraph, [140.0, 732.0, 446.0, 36.0], shoonya_2sS2IAYLXSH5CF, 6472290]
[paragraph, [140.0, 768.0, 446.0, 36.0], shoonya_2sS2IAYLXSH5CF, 6472290]
[paragraph, [141.0, 870.0, 382.0, 36.0], 31PDSTOSl_, 6472290]
[paragraph, [141.0, 906.0, 382.0, 36.0], 31PDSTOSl_, 6472290]
[paragraph, [141.0, 942.0, 382.0, 36.0], 31PDSTOSl_, 6472290]
[paragraph, [141.0, 978.0, 382.0, 36.0], 31PDSTOSl_, 6472290]
[paragraph, [141.0, 1014.0, 382.0, 36.0], 31PDSTOSl_, 6472290]
[paragraph, [141.0, 1050.0, 382.0, 36.0], 31PDSTOSl_, 6472290]
[paragraph, [535.0, 876.0, 380.0, 36.0], TwaGG6CPwI, 6472290]
[paragraph, [535.0, 912.0, 380.0, 36.0], TwaGG6CPwI, 6472290]
[paragraph, [535.0, 948.0, 380.0, 36.0], TwaGG6CPwI, 6472290]
[paragraph, [535.0, 984.0, 380.0, 36.0], TwaGG6CPwI, 6472290]
[paragraph, [535.0, 1085.0, 374.0, 36.0], NFuxT6CfsP, 6472290]
[paragraph, [535.0, 1121.0, 374.0, 36.0], NFuxT6CfsP, 6472290]
[paragraph, [535.0, 1157.0, 374.0, 36.0], NFuxT6CfsP, 6472290]
[paragraph, [132.0, 1154.0, 387.0, 36.0], v6IknvXKRC, 6472290]
[paragraph, [132.0, 1190.0, 387.0, 36.0], v6IknvXKRC, 6472290]
[paragraph, [132.0, 1226.0, 387.0, 36.0], v6IknvXKRC, 6472290]
[paragraph, [132.0, 1262.0, 387.0, 36.0], v6IknvXKRC, 6472290]
[ordered-list, [533.0, 1223.0, 286.0, 36.0], aGXWVpmeu6, 6472290]
[ordered-list, [533.0, 1259.0, 286.0, 36.0], aGXWVpmeu6, 6472290]
[ordered-list, [533.0, 1295.0, 286.0, 36.0], aGXWVpmeu6, 6472290]
[ordered-list, [533.0, 1331.0, 286.0, 36.0], aGXWVpmeu6, 6472290]
[ordered-list, [533.0, 1367.0, 286.0, 36.0], aGXWVpmeu6, 6472290]
[paragraph, [136.0, 1359.0, 381.0, 36.0], I6SZ_A-H2b, 6472290]
[paragraph, [136.0, 1395.0, 381.0, 36.0], I6SZ_A-H2b, 6472290]
