[2640, 2040]
[section-title, [213.0, 102.0, 231.0, 79.5], QGOqodsAY7, 5694036]
[headline, [218.0, 218.0, 1449.0, 52.5], shoonya_4sIKW42JZGQRQY, 5694036]
[headline, [218.0, 270.5, 1449.0, 52.5], shoonya_4sIKW42JZGQRQY, 5694036]
[headline, [218.0, 323.0, 1449.0, 52.5], shoonya_4sIKW42JZGQRQY, 5694036]
[headline, [218.0, 375.5, 1449.0, 52.5], shoonya_4sIKW42JZGQRQY, 5694036]
[headline, [218.0, 428.0, 1449.0, 52.5], shoonya_4sIKW42JZGQRQY, 5694036]
[author, [187.0, 519.0, 210.0, 46.5], UYawLvlV4F, 5694036]
[paragraph, [1304.0, 636.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 682.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 729.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 775.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 822.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 868.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 915.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 961.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 1008.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 1054.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 1101.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 1147.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 1194.0, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [1304.0, 1240.5, 542.0, 46.5], shoonya_0sTPSS309OQ5V4, 5694036]
[paragraph, [758.0, 637.0, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 683.5, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 730.0, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 776.5, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 823.0, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 869.5, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 916.0, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
[paragraph, [758.0, 962.5, 519.0, 46.5], shoonya_5s662DF4PNKB2R, 5694036]
