[4608, 3456]
[headline, [1310.0, 2062.0, 428.0, 52.5], shoonya_1sH3UF45377N76, 5687701]
[headline, [1310.0, 2114.5, 428.0, 52.5], shoonya_1sH3UF45377N76, 5687701]
[headline, [1310.0, 2167.0, 428.0, 52.5], shoonya_1sH3UF45377N76, 5687701]
[paragraph, [784.0, 2310.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2362.5, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2415.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2467.5, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2520.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2572.5, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2625.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2677.5, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2730.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2782.5, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2835.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2887.5, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [784.0, 2940.0, 1697.0, 52.5], NwfwHQ9ZW6, 5687701]
[paragraph, [788.0, 3024.0, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3076.5, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3129.0, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3181.5, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3234.0, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3286.5, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3339.0, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3391.5, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3444.0, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3496.5, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [788.0, 3549.0, 1702.0, 52.5], DVTMD4XKqa, 5687701]
[paragraph, [856.0, 3645.0, 1648.0, 52.5], t8RVGDJlgL, 5687701]
[paragraph, [856.0, 3697.5, 1648.0, 52.5], t8RVGDJlgL, 5687701]
[paragraph, [856.0, 3750.0, 1648.0, 52.5], t8RVGDJlgL, 5687701]
[paragraph, [856.0, 3802.5, 1648.0, 52.5], t8RVGDJlgL, 5687701]
[paragraph, [856.0, 3855.0, 1648.0, 52.5], t8RVGDJlgL, 5687701]
[author, [1923.0, 3977.0, 673.0, 52.5], hjou4yRISd, 5687701]
[dateline, [1944.0, 4083.0, 399.0, 52.5], 7jmJB6lTp3, 5687701]
