[1220, 768]
[headline, [92.0, 99.0, 211.0, 25.5], Of_7NKwSV4, 5770629]
[sub-headline, [173.0, 133.0, 467.0, 25.5], KpH40Ey6Mm, 5770629]
[sub-headline, [173.0, 158.5, 467.0, 25.5], KpH40Ey6Mm, 5770629]
[author, [261.0, 206.0, 279.0, 18.0], IcW1aUMWXd, 5770629]
[author, [261.0, 224.0, 279.0, 18.0], IcW1aUMWXd, 5770629]
[paragraph, [423.0, 280.0, 276.0, 18.0], Gb-1t_Zpbc, 5770629]
[paragraph, [423.0, 298.0, 276.0, 18.0], Gb-1t_Zpbc, 5770629]
[paragraph, [423.0, 316.0, 276.0, 18.0], Gb-1t_Zpbc, 5770629]
[paragraph, [95.0, 281.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 299.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 317.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 335.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 353.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 371.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 389.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 407.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 425.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 443.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 461.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 479.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 497.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 515.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 533.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 551.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 569.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 587.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 605.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 623.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 641.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 659.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 677.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 695.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 713.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 731.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 749.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 767.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 785.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 803.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 821.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [95.0, 839.0, 298.0, 18.0], shoonya_0sGA4I1WBJRNA8, 5770629]
[paragraph, [407.0, 329.0, 286.0, 18.0], cNDepjmlpT, 5770629]
[paragraph, [407.0, 347.0, 286.0, 18.0], cNDepjmlpT, 5770629]
[paragraph, [407.0, 365.0, 286.0, 18.0], cNDepjmlpT, 5770629]
[paragraph, [407.0, 383.0, 286.0, 18.0], cNDepjmlpT, 5770629]
[paragraph, [407.0, 401.0, 286.0, 18.0], cNDepjmlpT, 5770629]
[paragraph, [403.0, 422.0, 294.0, 18.0], VcvnDVMR4j, 5770629]
[paragraph, [403.0, 440.0, 294.0, 18.0], VcvnDVMR4j, 5770629]
[paragraph, [403.0, 458.0, 294.0, 18.0], VcvnDVMR4j, 5770629]
