[1725, 1313]
[paragraph, [114.0, 140.0, 832.0, 36.0], shoonya_0sBZ0VXG8O23Z0, 5771327]
[paragraph, [118.0, 195.0, 540.0, 36.0], rDI8zUzTtl, 5771327]
[section-title, [739.0, 198.0, 328.0, 49.5], 8r6RAVf7Ln, 5771327]
[paragraph, [118.0, 266.0, 537.0, 36.0], AfxKIR_kkn, 5771327]
[paragraph, [118.0, 302.0, 537.0, 36.0], AfxKIR_kkn, 5771327]
[paragraph, [118.0, 338.0, 537.0, 36.0], AfxKIR_kkn, 5771327]
[paragraph, [668.0, 289.0, 497.0, 36.0], cFb4boHA_O, 5771327]
[paragraph, [655.0, 353.0, 151.0, 36.0], Bf3Zo9nvgP, 5771327]
[paragraph, [655.0, 389.0, 151.0, 36.0], Bf3Zo9nvgP, 5771327]
[paragraph, [655.0, 425.0, 151.0, 36.0], Bf3Zo9nvgP, 5771327]
[paragraph, [655.0, 461.0, 151.0, 36.0], Bf3Zo9nvgP, 5771327]
[paragraph, [655.0, 497.0, 151.0, 36.0], Bf3Zo9nvgP, 5771327]
[paragraph, [655.0, 533.0, 151.0, 36.0], Bf3Zo9nvgP, 5771327]
[paragraph, [113.0, 406.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 442.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 478.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 514.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 550.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 586.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 622.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [113.0, 658.0, 537.0, 36.0], dBgblP5_sF, 5771327]
[paragraph, [657.0, 672.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 708.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 744.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 780.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 816.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 852.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 888.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 924.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [657.0, 960.0, 511.0, 36.0], HBCHFfukEp, 5771327]
[paragraph, [111.0, 715.0, 545.0, 36.0], nA6-J_4mNe, 5771327]
[paragraph, [111.0, 751.0, 545.0, 36.0], nA6-J_4mNe, 5771327]
[paragraph, [111.0, 787.0, 545.0, 36.0], nA6-J_4mNe, 5771327]
[paragraph, [111.0, 823.0, 545.0, 36.0], nA6-J_4mNe, 5771327]
[paragraph, [111.0, 859.0, 545.0, 36.0], nA6-J_4mNe, 5771327]
[sub-section-title, [257.0, 968.0, 254.0, 36.0], sQmtsRWWwK, 5771327]
[paragraph, [124.0, 1014.0, 543.0, 36.0], 1w-iBtWLWX, 5771327]
[section-title, [783.0, 1027.0, 256.0, 49.5], uPRj74pvfH, 5771327]
[sub-section-title, [750.0, 1069.0, 325.0, 36.0], RZr8t8kdSx, 5771327]
[paragraph, [106.0, 1070.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [106.0, 1106.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [106.0, 1142.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [106.0, 1178.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [106.0, 1214.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [106.0, 1250.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [106.0, 1286.0, 180.0, 36.0], kccUJm-YaZ, 5771327]
[paragraph, [652.0, 1118.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [652.0, 1154.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [652.0, 1190.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [652.0, 1226.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [652.0, 1262.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [652.0, 1298.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [652.0, 1334.0, 177.0, 36.0], 1L6-HqGy3o, 5771327]
[paragraph, [106.0, 1359.0, 543.0, 36.0], P401jbKNEn, 5771327]
[paragraph, [106.0, 1395.0, 543.0, 36.0], P401jbKNEn, 5771327]
[paragraph, [654.0, 1397.0, 328.0, 36.0], 9HRL73flM_, 5771327]
[paragraph, [652.0, 1435.0, 514.0, 36.0], AK7xla5bwc, 5771327]
[paragraph, [652.0, 1471.0, 514.0, 36.0], AK7xla5bwc, 5771327]
[paragraph, [652.0, 1507.0, 514.0, 36.0], AK7xla5bwc, 5771327]
[paragraph, [103.0, 1448.0, 542.0, 36.0], W3VnIq49Qg, 5771327]
[paragraph, [103.0, 1484.0, 542.0, 36.0], W3VnIq49Qg, 5771327]
[paragraph, [103.0, 1520.0, 542.0, 36.0], W3VnIq49Qg, 5771327]
