[792, 524]
[section-title, [186.0, 103.0, 184.0, 30.0], shoonya_3sCBXXBAACFVYH, 6513738]
[author, [419.0, 137.0, 93.0, 18.0], KJLPEZPvNI, 6513738]
[paragraph, [43.0, 184.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 202.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 220.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 238.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 256.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 274.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 292.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 310.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 328.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 346.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 364.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 382.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 400.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 418.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 436.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [43.0, 454.0, 466.0, 18.0], shoonya_0sKT2UWNO8BZEE, 6513738]
[paragraph, [42.0, 483.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 501.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 519.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 537.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 555.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 573.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 591.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [42.0, 609.0, 464.0, 18.0], shoonya_2sGIHO020YE7XH, 6513738]
[paragraph, [46.0, 630.0, 457.0, 18.0], shoonya_1sJ1G8CZRBMFFZ, 6513738]
[paragraph, [46.0, 648.0, 457.0, 18.0], shoonya_1sJ1G8CZRBMFFZ, 6513738]
[paragraph, [46.0, 666.0, 457.0, 18.0], shoonya_1sJ1G8CZRBMFFZ, 6513738]
[paragraph, [46.0, 684.0, 457.0, 18.0], shoonya_1sJ1G8CZRBMFFZ, 6513738]
[paragraph, [46.0, 702.0, 457.0, 18.0], shoonya_1sJ1G8CZRBMFFZ, 6513738]
[paragraph, [46.0, 720.0, 457.0, 18.0], shoonya_1sJ1G8CZRBMFFZ, 6513738]
