[1606, 1056]
[folio, [107.0, 101.0, 249.0, 36.0], gRNKzhNQCn, 5683749]
[folio, [447.0, 103.0, 159.0, 36.0], shoonya_2sYSS5XW5LDOZ9, 5683749]
[paragraph, [106.0, 154.0, 851.0, 36.0], shoonya_0sBT960KCH0Y0L, 5683749]
[paragraph, [106.0, 190.0, 851.0, 36.0], shoonya_0sBT960KCH0Y0L, 5683749]
[paragraph, [106.0, 226.0, 851.0, 36.0], shoonya_0sBT960KCH0Y0L, 5683749]
[paragraph, [106.0, 262.0, 851.0, 36.0], shoonya_0sBT960KCH0Y0L, 5683749]
[paragraph, [106.0, 298.0, 851.0, 36.0], shoonya_0sBT960KCH0Y0L, 5683749]
[paragraph, [106.0, 334.0, 851.0, 36.0], shoonya_0sBT960KCH0Y0L, 5683749]
[paragraph, [101.0, 381.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 417.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 453.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 489.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 525.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 561.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 597.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 633.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 669.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 705.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 741.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 777.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 813.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 849.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 885.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 921.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 957.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 993.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1029.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1065.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1101.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1137.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1173.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1209.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1245.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1281.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [101.0, 1317.0, 854.0, 36.0], shoonya_1sKDYNKSEJI7OK, 5683749]
[paragraph, [102.0, 1374.0, 853.0, 36.0], shoonya_3sFAAXUP9QOLOB, 5683749]
[paragraph, [102.0, 1410.0, 853.0, 36.0], shoonya_3sFAAXUP9QOLOB, 5683749]
[paragraph, [102.0, 1446.0, 853.0, 36.0], shoonya_3sFAAXUP9QOLOB, 5683749]
