[1355, 824]
[folio, [603.0, 57.0, 132.0, 18.0], x-Hrop6eIQ, 5782378]
[folio, [603.0, 75.0, 132.0, 18.0], x-Hrop6eIQ, 5782378]
[folio, [603.0, 93.0, 132.0, 18.0], x-Hrop6eIQ, 5782378]
[folio, [117.0, 121.0, 562.0, 18.0], shoonya_2s0XBOQMXA1UVG, 5782378]
[paragraph, [81.0, 157.0, 658.0, 18.0], kKu123vVpb, 5782378]
[paragraph, [81.0, 175.0, 658.0, 18.0], kKu123vVpb, 5782378]
[paragraph, [81.0, 193.0, 658.0, 18.0], kKu123vVpb, 5782378]
[paragraph, [81.0, 211.0, 658.0, 18.0], kKu123vVpb, 5782378]
[ordered-list, [79.0, 247.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 265.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 283.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 301.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 319.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 337.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 355.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 373.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 391.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 409.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 427.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 445.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 463.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 481.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 499.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 517.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 535.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 553.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 571.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 589.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 607.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 625.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 643.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 661.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 679.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 697.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 715.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 733.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 751.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 769.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 787.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 805.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 823.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 841.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 859.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 877.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 895.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 913.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 931.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 949.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 967.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 985.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1003.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1021.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1039.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1057.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1075.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1093.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1111.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1129.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1147.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
[ordered-list, [79.0, 1165.0, 657.0, 18.0], dEvyXAFmSt, 5782378]
