[1806, 1262]
[folio, [451.0, 102.0, 617.0, 36.0], shoonya_3sGCC414LMX1F7, 5680793]
[paragraph, [637.0, 176.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 212.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 248.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 284.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 320.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 356.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 392.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 428.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 464.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 500.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 536.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 572.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [637.0, 608.0, 493.0, 36.0], shoonya_0s6I9TQR6GNLEZ, 5680793]
[paragraph, [96.0, 179.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 215.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 251.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 287.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 323.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 359.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 395.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 431.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 467.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [96.0, 503.0, 493.0, 36.0], shoonya_4s9BBKX43TONF2, 5680793]
[paragraph, [93.0, 552.0, 495.0, 36.0], shoonya_1sZ3EYZTNEYYRD, 5680793]
[paragraph, [93.0, 588.0, 495.0, 36.0], shoonya_1sZ3EYZTNEYYRD, 5680793]
[paragraph, [93.0, 624.0, 495.0, 36.0], shoonya_1sZ3EYZTNEYYRD, 5680793]
[paragraph, [93.0, 660.0, 495.0, 36.0], shoonya_1sZ3EYZTNEYYRD, 5680793]
[paragraph, [634.0, 646.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 682.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 718.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 754.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 790.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 826.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 862.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 898.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 934.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 970.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1006.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1042.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1078.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1114.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1150.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1186.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1222.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1258.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1294.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1330.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1366.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1402.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1438.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1474.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1510.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [634.0, 1546.0, 494.0, 36.0], lGG4aLZs0j, 5680793]
[paragraph, [179.0, 699.0, 324.0, 36.0], YZUZmyFTNX, 5680793]
[paragraph, [179.0, 735.0, 324.0, 36.0], YZUZmyFTNX, 5680793]
[paragraph, [179.0, 771.0, 324.0, 36.0], YZUZmyFTNX, 5680793]
[paragraph, [179.0, 807.0, 324.0, 36.0], YZUZmyFTNX, 5680793]
[reference, [173.0, 849.0, 415.0, 36.0], 6FAoj5T3RM, 5680793]
[paragraph, [102.0, 882.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 918.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 954.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 990.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 1026.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 1062.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 1098.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
[paragraph, [102.0, 1134.0, 489.0, 36.0], 1OWA3q_vJU, 5680793]
