[3509, 2480]
[paragraph, [354.0, 376.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 428.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 481.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 533.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 586.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 638.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 691.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 743.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 796.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 848.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 901.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 953.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 1006.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 1058.5, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 1111.0, 1787.0, 52.5], blAEPR-LkS, 5724034]
[paragraph, [354.0, 1225.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1277.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1330.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1382.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1435.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1487.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1540.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1592.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1645.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1697.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1750.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1802.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1855.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1907.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 1960.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2012.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2065.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2117.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2170.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2222.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2275.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2327.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2380.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2432.5, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[paragraph, [354.0, 2485.0, 1798.0, 52.5], shoonya_1s7W28MP2IOHBL, 5724034]
[footnote, [325.0, 2628.0, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2680.5, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2733.0, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2785.5, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2838.0, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2890.5, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2943.0, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 2995.5, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 3048.0, 1503.0, 52.5], NEaHwfZuAB, 5724034]
[footnote, [325.0, 3100.5, 1503.0, 52.5], NEaHwfZuAB, 5724034]
