[842, 595]
[section-title, [165.0, 47.0, 285.0, 30.0], 17eM6eRUId, 5766135]
[paragraph, [48.0, 117.0, 499.0, 18.0], shoonya_3s5A9T0V1TDZHR, 5766135]
[paragraph, [48.0, 135.0, 499.0, 18.0], shoonya_3s5A9T0V1TDZHR, 5766135]
[paragraph, [49.0, 190.0, 500.0, 18.0], shoonya_2sRIOH5CSA9CGN, 5766135]
[paragraph, [49.0, 208.0, 500.0, 18.0], shoonya_2sRIOH5CSA9CGN, 5766135]
[paragraph, [49.0, 226.0, 500.0, 18.0], shoonya_2sRIOH5CSA9CGN, 5766135]
[paragraph, [48.0, 281.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 299.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 317.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 335.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 353.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 371.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 389.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 407.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [48.0, 425.0, 498.0, 18.0], shoonya_0s9OAKPD3HJH9I, 5766135]
[paragraph, [45.0, 465.0, 497.0, 18.0], dJSP4X54dC, 5766135]
[paragraph, [45.0, 483.0, 497.0, 18.0], dJSP4X54dC, 5766135]
[paragraph, [46.0, 539.0, 500.0, 18.0], shoonya_4sQKZTMUQE3HU0, 5766135]
[paragraph, [46.0, 557.0, 500.0, 18.0], shoonya_4sQKZTMUQE3HU0, 5766135]
[paragraph, [46.0, 575.0, 500.0, 18.0], shoonya_4sQKZTMUQE3HU0, 5766135]
[paragraph, [46.0, 593.0, 500.0, 18.0], shoonya_4sQKZTMUQE3HU0, 5766135]
[paragraph, [46.0, 611.0, 500.0, 18.0], shoonya_4sQKZTMUQE3HU0, 5766135]
[paragraph, [45.0, 636.0, 505.0, 18.0], VxJSA9nugD, 5766135]
[paragraph, [45.0, 654.0, 505.0, 18.0], VxJSA9nugD, 5766135]
[paragraph, [45.0, 672.0, 505.0, 18.0], VxJSA9nugD, 5766135]
[paragraph, [45.0, 690.0, 505.0, 18.0], VxJSA9nugD, 5766135]
[paragraph, [46.0, 730.0, 504.0, 18.0], ifSwV62_iL, 5766135]
[paragraph, [46.0, 748.0, 504.0, 18.0], ifSwV62_iL, 5766135]
[paragraph, [46.0, 766.0, 504.0, 18.0], ifSwV62_iL, 5766135]
