[2339, 1656]
[paragraph, [190.0, 204.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 240.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 276.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 312.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 348.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 384.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 420.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 456.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 492.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 528.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 564.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 600.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 636.0, 1280.0, 36.0], shoonya_1sDRH02MMA7NU9, 5731248]
[paragraph, [190.0, 712.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 748.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 784.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 820.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 856.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 892.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 928.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 964.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1000.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1036.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1072.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1108.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1144.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1180.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1216.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1252.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1288.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1324.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1360.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1396.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1432.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [190.0, 1468.0, 1274.0, 36.0], shoonya_2sBK6N4B5L3AJZ, 5731248]
[paragraph, [189.0, 1532.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1568.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1604.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1640.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1676.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1712.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1748.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1784.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1820.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1856.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1892.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1928.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 1964.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 2000.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
[paragraph, [189.0, 2036.0, 1275.0, 36.0], shoonya_0sXIABBIGKLZGJ, 5731248]
