[648, 414]
[paragraph, [52.0, 96.0, 310.0, 18.0], shoonya_2sLVQ0PCDNGMYR, 6514422]
[paragraph, [52.0, 114.0, 310.0, 18.0], shoonya_2sLVQ0PCDNGMYR, 6514422]
[paragraph, [71.0, 150.0, 132.0, 18.0], M_IoHbb1aA, 6514422]
[paragraph, [71.0, 168.0, 132.0, 18.0], M_IoHbb1aA, 6514422]
[paragraph, [52.0, 203.0, 313.0, 18.0], iuL5jgh-Ww, 6514422]
[paragraph, [52.0, 221.0, 313.0, 18.0], iuL5jgh-Ww, 6514422]
[paragraph, [52.0, 250.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 268.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 286.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 304.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 322.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 340.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 358.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 376.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 394.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 412.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 430.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 448.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 466.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 484.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 502.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 520.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 538.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 556.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
[paragraph, [52.0, 574.0, 309.0, 18.0], shoonya_0sJ31Q7GKROMRV, 6514422]
