[1500, 2000]
[headline, [244.0, 31.0, 1501.0, 37.5], shoonya_2sZ2GWIRQI5X32, 5735334]
[headline, [244.0, 68.5, 1501.0, 37.5], shoonya_2sZ2GWIRQI5X32, 5735334]
[headline, [244.0, 106.0, 1501.0, 37.5], shoonya_2sZ2GWIRQI5X32, 5735334]
[headline, [244.0, 143.5, 1501.0, 37.5], shoonya_2sZ2GWIRQI5X32, 5735334]
[headline, [244.0, 181.0, 1501.0, 37.5], shoonya_2sZ2GWIRQI5X32, 5735334]
[headline, [244.0, 218.5, 1501.0, 37.5], shoonya_2sZ2GWIRQI5X32, 5735334]
[unordered-list, [695.0, 330.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 366.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 402.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 438.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 474.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 510.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 546.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 582.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 618.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 654.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 690.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 726.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
[unordered-list, [695.0, 762.0, 1042.0, 36.0], P4zB97lI5V, 5735334]
