[576, 360]
[paragraph, [28.0, 63.0, 303.0, 18.0], 3_tqGggIrE, 6516339]
[paragraph, [28.0, 81.0, 303.0, 18.0], 3_tqGggIrE, 6516339]
[paragraph, [28.0, 99.0, 303.0, 18.0], 3_tqGggIrE, 6516339]
[paragraph, [28.0, 117.0, 303.0, 18.0], 3_tqGggIrE, 6516339]
[paragraph, [28.0, 135.0, 303.0, 18.0], 3_tqGggIrE, 6516339]
[paragraph, [27.0, 171.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 189.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 207.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 225.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 243.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 261.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 279.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 297.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 315.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 333.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 351.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 369.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 387.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 405.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 423.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 441.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 459.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 477.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
[paragraph, [27.0, 495.0, 304.0, 18.0], shoonya_0sFWDEMF67ASZD, 6516339]
