[2337, 1642]
[paragraph, [231.0, 157.0, 1263.0, 36.0], shoonya_0s2OYAXTMF21PO, 5752926]
[paragraph, [231.0, 193.0, 1263.0, 36.0], shoonya_0s2OYAXTMF21PO, 5752926]
[paragraph, [231.0, 229.0, 1263.0, 36.0], shoonya_0s2OYAXTMF21PO, 5752926]
[paragraph, [231.0, 265.0, 1263.0, 36.0], shoonya_0s2OYAXTMF21PO, 5752926]
[paragraph, [231.0, 301.0, 1263.0, 36.0], shoonya_0s2OYAXTMF21PO, 5752926]
[paragraph, [231.0, 337.0, 1263.0, 36.0], shoonya_0s2OYAXTMF21PO, 5752926]
[unordered-list, [203.0, 406.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 442.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 478.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 514.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 550.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 586.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 622.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 658.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 694.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 730.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 766.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 802.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 838.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 874.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 910.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 946.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 982.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1018.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1054.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1090.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1126.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1162.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1198.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1234.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1270.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1306.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1342.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1378.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1414.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1450.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1486.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1522.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1558.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1594.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1630.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1666.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1702.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1738.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1774.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1810.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1846.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1882.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1918.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1954.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[unordered-list, [203.0, 1990.0, 1297.0, 36.0], 6WvFmgvRLU, 5752926]
[website-link, [556.0, 2261.0, 527.0, 18.0], HleFJCXI2g, 5752926]
[website-link, [556.0, 2279.0, 527.0, 18.0], HleFJCXI2g, 5752926]
[website-link, [556.0, 2297.0, 527.0, 18.0], HleFJCXI2g, 5752926]
