[1447, 1093]
[answer, [116.0, 116.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [116.0, 134.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [116.0, 152.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [116.0, 170.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [116.0, 188.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [116.0, 206.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [116.0, 224.0, 393.0, 18.0], WzZjFfZbju, 5715683]
[answer, [114.0, 336.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 354.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 372.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 390.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 408.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 426.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 444.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 462.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 480.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 498.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 516.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 534.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [114.0, 552.0, 397.0, 18.0], y4pL9EuGNl, 5715683]
[answer, [116.0, 681.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 699.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 717.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 735.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 753.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 771.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 789.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 807.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 825.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 843.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 861.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 879.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 897.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 915.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 933.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 951.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 969.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [116.0, 987.0, 401.0, 18.0], reVJAiE8lr, 5715683]
[answer, [117.0, 1058.0, 388.0, 18.0], 2QXDv-ALK0, 5715683]
[answer, [117.0, 1076.0, 388.0, 18.0], 2QXDv-ALK0, 5715683]
[answer, [117.0, 1094.0, 388.0, 18.0], 2QXDv-ALK0, 5715683]
[answer, [106.0, 1175.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1193.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1211.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1229.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1247.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1265.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1283.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1301.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1319.0, 404.0, 18.0], A6regTtiXe, 5715683]
[answer, [106.0, 1337.0, 404.0, 18.0], A6regTtiXe, 5715683]
