[595, 454]
[chapter-title, [271.0, 167.0, 120.0, 30.0], shoonya_5s9GUTSJWBY2M3, 6460171]
[paragraph, [29.0, 211.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 229.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 247.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 265.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 283.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 301.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 319.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 337.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [29.0, 355.0, 199.0, 18.0], shoonya_0sKHOV22QUNLQN, 6460171]
[paragraph, [232.0, 214.0, 130.0, 18.0], shoonya_6sN0ZOUA6X9HPH, 6460171]
[paragraph, [230.0, 234.0, 198.0, 18.0], shoonya_4s8QP83O8EFICB, 6460171]
[paragraph, [230.0, 252.0, 198.0, 18.0], shoonya_4s8QP83O8EFICB, 6460171]
[paragraph, [230.0, 270.0, 198.0, 18.0], shoonya_4s8QP83O8EFICB, 6460171]
[paragraph, [230.0, 288.0, 198.0, 18.0], shoonya_4s8QP83O8EFICB, 6460171]
[paragraph, [230.0, 306.0, 198.0, 18.0], shoonya_4s8QP83O8EFICB, 6460171]
[paragraph, [231.0, 326.0, 201.0, 18.0], shoonya_1sS7KIEZO48EAH, 6460171]
[paragraph, [231.0, 344.0, 201.0, 18.0], shoonya_1sS7KIEZO48EAH, 6460171]
[paragraph, [231.0, 362.0, 201.0, 18.0], shoonya_1sS7KIEZO48EAH, 6460171]
[paragraph, [231.0, 380.0, 201.0, 18.0], shoonya_1sS7KIEZO48EAH, 6460171]
[paragraph, [231.0, 398.0, 201.0, 18.0], shoonya_1sS7KIEZO48EAH, 6460171]
[paragraph, [31.0, 384.0, 196.0, 18.0], shoonya_3sHNZIDXZJZRDV, 6460171]
[paragraph, [31.0, 402.0, 196.0, 18.0], shoonya_3sHNZIDXZJZRDV, 6460171]
[paragraph, [31.0, 420.0, 196.0, 18.0], shoonya_3sHNZIDXZJZRDV, 6460171]
[paragraph, [227.0, 423.0, 200.0, 18.0], ZmqngPk1tV, 6460171]
[paragraph, [227.0, 441.0, 200.0, 18.0], ZmqngPk1tV, 6460171]
[paragraph, [227.0, 459.0, 200.0, 18.0], ZmqngPk1tV, 6460171]
[paragraph, [227.0, 477.0, 200.0, 18.0], ZmqngPk1tV, 6460171]
[paragraph, [28.0, 443.0, 198.0, 18.0], shoonya_7sQCYH0OEA5DCY, 6460171]
[paragraph, [28.0, 461.0, 198.0, 18.0], shoonya_7sQCYH0OEA5DCY, 6460171]
[paragraph, [28.0, 479.0, 198.0, 18.0], shoonya_7sQCYH0OEA5DCY, 6460171]
[paragraph, [28.0, 497.0, 198.0, 18.0], shoonya_7sQCYH0OEA5DCY, 6460171]
[paragraph, [28.0, 515.0, 198.0, 18.0], shoonya_7sQCYH0OEA5DCY, 6460171]
[paragraph, [228.0, 502.0, 197.0, 18.0], BZbV9wbEE9, 6460171]
[paragraph, [228.0, 520.0, 197.0, 18.0], BZbV9wbEE9, 6460171]
[footnote, [112.0, 547.0, 227.0, 18.0], RwKspTGxw1, 6460171]
