[2200, 1700]
[paragraph, [288.0, 80.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 116.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 152.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 188.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 224.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 260.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 296.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 332.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 368.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 404.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 440.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 476.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 512.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 548.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 584.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 620.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 656.0, 1113.0, 36.0], shoonya_1sFZ3BMFOAPDBY, 5731372]
[paragraph, [288.0, 712.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 748.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 784.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 820.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 856.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 892.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 928.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 964.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1000.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1036.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1072.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1108.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1144.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1180.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1216.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1252.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1288.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1324.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1360.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1396.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1432.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1468.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1504.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1540.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1576.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1612.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1648.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [288.0, 1684.0, 1109.0, 36.0], shoonya_0s173E3PMFC814, 5731372]
[paragraph, [299.0, 1735.0, 1101.0, 36.0], shoonya_2sV8M9VH39OBCH, 5731372]
[paragraph, [299.0, 1771.0, 1101.0, 36.0], shoonya_2sV8M9VH39OBCH, 5731372]
[paragraph, [299.0, 1807.0, 1101.0, 36.0], shoonya_2sV8M9VH39OBCH, 5731372]
[paragraph, [299.0, 1843.0, 1101.0, 36.0], shoonya_2sV8M9VH39OBCH, 5731372]
[paragraph, [299.0, 1879.0, 1101.0, 36.0], shoonya_2sV8M9VH39OBCH, 5731372]
[paragraph, [299.0, 1915.0, 1101.0, 36.0], shoonya_2sV8M9VH39OBCH, 5731372]
[folio, [918.0, 2008.0, 362.0, 36.0], YshfrUakeN, 5731372]
