[872, 605]
[folio, [468.0, 37.0, 88.0, 18.0], qf0BZtw7PB, 6456731]
[paragraph, [304.0, 74.0, 246.0, 18.0], 0v6FPUTsXB, 6456731]
[paragraph, [51.0, 102.0, 251.0, 18.0], 8iy2cVvbh0, 6456731]
[paragraph, [310.0, 102.0, 160.0, 18.0], 76NYbTNrba, 6456731]
[paragraph, [302.0, 119.0, 248.0, 18.0], e9Z9uu-2rY, 6456731]
[paragraph, [302.0, 137.0, 248.0, 18.0], e9Z9uu-2rY, 6456731]
[paragraph, [56.0, 139.0, 100.0, 18.0], Q5pudy6E69, 6456731]
[paragraph, [305.0, 158.0, 239.0, 18.0], Ng50FAc6jA, 6456731]
[paragraph, [305.0, 176.0, 239.0, 18.0], Ng50FAc6jA, 6456731]
[paragraph, [304.0, 194.0, 244.0, 18.0], e4Y8B73P2V, 6456731]
[paragraph, [304.0, 212.0, 244.0, 18.0], e4Y8B73P2V, 6456731]
[paragraph, [54.0, 196.0, 204.0, 18.0], eeFPqsYOk4, 6456731]
[paragraph, [53.0, 216.0, 252.0, 18.0], RQ0UVOAdqU, 6456731]
[paragraph, [53.0, 234.0, 252.0, 18.0], RQ0UVOAdqU, 6456731]
[paragraph, [53.0, 252.0, 252.0, 18.0], RQ0UVOAdqU, 6456731]
[paragraph, [53.0, 270.0, 252.0, 18.0], RQ0UVOAdqU, 6456731]
[paragraph, [53.0, 288.0, 252.0, 18.0], RQ0UVOAdqU, 6456731]
[paragraph, [303.0, 233.0, 249.0, 18.0], im9kLMvfmF, 6456731]
[paragraph, [303.0, 251.0, 249.0, 18.0], im9kLMvfmF, 6456731]
[paragraph, [307.0, 274.0, 242.0, 18.0], nstMmFFyPc, 6456731]
[paragraph, [307.0, 292.0, 242.0, 18.0], nstMmFFyPc, 6456731]
[paragraph, [306.0, 314.0, 242.0, 18.0], 5eY-s7Hf9v, 6456731]
[paragraph, [306.0, 332.0, 242.0, 18.0], 5eY-s7Hf9v, 6456731]
[paragraph, [54.0, 318.0, 249.0, 18.0], ezcEbrtXuk, 6456731]
[paragraph, [56.0, 338.0, 247.0, 18.0], 4YaYtbCdbs, 6456731]
[paragraph, [303.0, 350.0, 247.0, 18.0], _GSKq31b8L, 6456731]
[paragraph, [303.0, 368.0, 247.0, 18.0], _GSKq31b8L, 6456731]
[paragraph, [56.0, 357.0, 248.0, 18.0], XH-5fMJFCR, 6456731]
[paragraph, [56.0, 375.0, 248.0, 18.0], XH-5fMJFCR, 6456731]
[paragraph, [56.0, 393.0, 248.0, 18.0], XH-5fMJFCR, 6456731]
[paragraph, [56.0, 411.0, 248.0, 18.0], XH-5fMJFCR, 6456731]
[paragraph, [56.0, 429.0, 248.0, 18.0], XH-5fMJFCR, 6456731]
[paragraph, [305.0, 393.0, 248.0, 18.0], VWB2ZCtckG, 6456731]
[paragraph, [305.0, 411.0, 248.0, 18.0], VWB2ZCtckG, 6456731]
[paragraph, [305.0, 429.0, 248.0, 18.0], VWB2ZCtckG, 6456731]
[paragraph, [306.0, 464.0, 246.0, 18.0], T57CqHNp__, 6456731]
[paragraph, [306.0, 482.0, 246.0, 18.0], T57CqHNp__, 6456731]
[paragraph, [55.0, 479.0, 245.0, 18.0], TRvh0BiagD, 6456731]
[paragraph, [55.0, 497.0, 245.0, 18.0], TRvh0BiagD, 6456731]
[paragraph, [315.0, 505.0, 165.0, 18.0], vhnLlvR2SZ, 6456731]
[paragraph, [52.0, 518.0, 251.0, 18.0], CICXdbmqXG, 6456731]
[paragraph, [52.0, 536.0, 251.0, 18.0], CICXdbmqXG, 6456731]
[paragraph, [52.0, 554.0, 251.0, 18.0], CICXdbmqXG, 6456731]
[paragraph, [306.0, 525.0, 242.0, 18.0], j5OCShtjWT, 6456731]
[paragraph, [306.0, 543.0, 242.0, 18.0], j5OCShtjWT, 6456731]
[paragraph, [308.0, 565.0, 244.0, 18.0], Fqthje51YE, 6456731]
[paragraph, [308.0, 583.0, 244.0, 18.0], Fqthje51YE, 6456731]
[paragraph, [52.0, 584.0, 247.0, 18.0], A_DqQVLDtZ, 6456731]
[paragraph, [52.0, 602.0, 247.0, 18.0], A_DqQVLDtZ, 6456731]
