[612, 792]
[chapter-title, [290.0, 69.0, 184.0, 30.0], _ZaXYbPi8q, 6533100]
[paragraph, [53.0, 115.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 133.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 151.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 169.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 187.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 205.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 223.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 241.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 259.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 277.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 295.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 313.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 331.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 349.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 367.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 385.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 403.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 421.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 439.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 457.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 475.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 493.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
[paragraph, [53.0, 511.0, 650.0, 18.0], shoonya_0sKPM8FI0PJ1Q8, 6533100]
