[1763, 1275]
[section-title, [725.0, 32.0, 474.0, 49.5], shoonya_11sDDL0WMPNFDX, 5713287]
[section-title, [41.0, 49.0, 492.0, 49.5], shoonya_12sNWAP6S8F47W, 5713287]
[paragraph, [693.0, 104.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 140.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 176.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 212.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 248.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 284.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 320.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 356.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [693.0, 392.0, 535.0, 36.0], shoonya_0sAW0ESFFC7RN5, 5713287]
[paragraph, [45.0, 123.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [45.0, 159.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [45.0, 195.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [45.0, 231.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [45.0, 267.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [45.0, 303.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [45.0, 339.0, 612.0, 36.0], shoonya_9sASSBP2FA8K47, 5713287]
[paragraph, [242.0, 399.0, 410.0, 36.0], shoonya_3sUHL8RXYY07SS, 5713287]
[paragraph, [242.0, 435.0, 410.0, 36.0], shoonya_3sUHL8RXYY07SS, 5713287]
[paragraph, [692.0, 459.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 495.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 531.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 567.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 603.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 639.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 675.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 711.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 747.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 783.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
[paragraph, [692.0, 819.0, 539.0, 36.0], shoonya_1s6GZ8B6X6M3UQ, 5713287]
