[853, 552]
[paragraph, [49.0, 89.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 107.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 125.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 143.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 161.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 179.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 197.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 215.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 233.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 251.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 269.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 287.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 305.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 323.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 341.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 359.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 377.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 395.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 413.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 431.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 449.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 467.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 485.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 503.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 521.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 539.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 557.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 575.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 593.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 611.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 629.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 647.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 665.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 683.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
[paragraph, [49.0, 701.0, 454.0, 18.0], w7Wd5WSCbQ, 5773721]
