[1728, 1296]
[section-title, [1.0, 43.0, 750.0, 49.5], pXBNrxUd_p, 5771929]
[section-title, [1.0, 92.5, 750.0, 49.5], pXBNrxUd_p, 5771929]
[headline, [872.0, 82.0, 296.0, 37.5], 1IxL0mIGdZ, 5771929]
[headline, [872.0, 119.5, 296.0, 37.5], 1IxL0mIGdZ, 5771929]
[sub-headline, [901.0, 186.0, 240.0, 36.0], T0_9tuvP9L, 5771929]
[sub-section-title, [98.0, 195.0, 726.0, 36.0], shoonya_1s8JINZ6BC1JEK, 5771929]
[sub-section-title, [98.0, 231.0, 726.0, 36.0], shoonya_1s8JINZ6BC1JEK, 5771929]
[unordered-list, [47.0, 305.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 341.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 377.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 413.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 449.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 485.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 521.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 557.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 593.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 629.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 665.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 701.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 737.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 773.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 809.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 845.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 881.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 917.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 953.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 989.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1025.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1061.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1097.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1133.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1169.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1205.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1241.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1277.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1313.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1349.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1385.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1421.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
[unordered-list, [47.0, 1457.0, 1140.0, 36.0], RCefgkKfLb, 5771929]
