[1744, 1332]
[unordered-list, [118.0, 149.0, 541.0, 36.0], Iw82iYGXAY, 5772168]
[unordered-list, [118.0, 185.0, 541.0, 36.0], Iw82iYGXAY, 5772168]
[unordered-list, [118.0, 221.0, 541.0, 36.0], Iw82iYGXAY, 5772168]
[unordered-list, [118.0, 257.0, 541.0, 36.0], Iw82iYGXAY, 5772168]
[unordered-list, [673.0, 150.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 186.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 222.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 258.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 294.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 330.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 366.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 402.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 438.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 474.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 510.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 546.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 582.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 618.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 654.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 690.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 726.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 762.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [673.0, 798.0, 531.0, 36.0], shoonya_3sNHEOM3669W4Q, 5772168]
[unordered-list, [119.0, 357.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 393.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 429.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 465.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 501.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 537.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 573.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 609.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 645.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 681.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 717.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 753.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 789.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 825.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[unordered-list, [119.0, 861.0, 544.0, 36.0], shoonya_7sWQQPNHRO57OC, 5772168]
[paragraph, [690.0, 867.0, 515.0, 36.0], shoonya_6sHN1CL0XHH04O, 5772168]
[folio, [600.0, 1586.0, 157.0, 36.0], shoonya_2sEDE6CMDN6POP, 5772168]
[figure-caption, [789.0, 1683.0, 143.0, 36.0], shoonya_8sJR2TJ87EQGI4, 5772168]
