[2428, 1814]
[quote, [1118.0, 240.0, 427.0, 36.0], PJlrYD033O, 5694008]
[quote, [1118.0, 276.0, 427.0, 36.0], PJlrYD033O, 5694008]
[quote, [1172.0, 384.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 420.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 456.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 492.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 528.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 564.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 600.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1172.0, 636.0, 391.0, 36.0], shoonya_2sY68OQ1LZQP3X, 5694008]
[quote, [1184.0, 1084.0, 225.0, 36.0], shoonya_0sMABE2JPCKU63, 5694008]
[quote, [1184.0, 1120.0, 225.0, 36.0], shoonya_0sMABE2JPCKU63, 5694008]
[quote, [1184.0, 1156.0, 225.0, 36.0], shoonya_0sMABE2JPCKU63, 5694008]
[quote, [1184.0, 1192.0, 225.0, 36.0], shoonya_0sMABE2JPCKU63, 5694008]
[quote, [1248.0, 1343.0, 164.0, 36.0], B2GmUGDJ8u, 5694008]
[quote, [1248.0, 1379.0, 164.0, 36.0], B2GmUGDJ8u, 5694008]
[quote, [432.0, 1446.0, 256.0, 36.0], shoonya_4sAKXVVTWJPVX0, 5694008]
[quote, [432.0, 1482.0, 256.0, 36.0], shoonya_4sAKXVVTWJPVX0, 5694008]
[quote, [501.0, 1615.0, 460.0, 36.0], shoonya_1sW76T7A644T31, 5694008]
[quote, [501.0, 1651.0, 460.0, 36.0], shoonya_1sW76T7A644T31, 5694008]
[quote, [501.0, 1687.0, 460.0, 36.0], shoonya_1sW76T7A644T31, 5694008]
[quote, [1099.0, 1672.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1708.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1744.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1780.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1816.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1852.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1888.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [1099.0, 1924.0, 339.0, 36.0], shoonya_3sOOYDC6BIVE6P, 5694008]
[quote, [544.0, 1766.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [544.0, 1802.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [544.0, 1838.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [544.0, 1874.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [544.0, 1910.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [544.0, 1946.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [544.0, 1982.0, 301.0, 36.0], rCb5GbXOyz, 5694008]
[quote, [1081.0, 2068.0, 192.0, 36.0], 9hbM90svzJ, 5694008]
[quote, [1081.0, 2104.0, 192.0, 36.0], 9hbM90svzJ, 5694008]
[folio, [569.0, 2300.0, 563.0, 36.0], shoonya_6s6LJFLAJL6OCC, 5694008]
