[1152, 739]
[paragraph, [86.0, 177.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 195.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 213.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 231.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 249.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 267.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 285.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 303.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [86.0, 321.0, 560.0, 18.0], V8MhOxZcqc, 5741142]
[paragraph, [92.0, 357.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 375.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 393.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 411.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 429.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 447.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 465.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 483.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 501.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 519.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 537.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 555.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 573.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 591.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 609.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 627.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 645.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 663.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 681.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 699.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [92.0, 717.0, 547.0, 18.0], FzIs65M_39, 5741142]
[paragraph, [97.0, 744.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 762.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 780.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 798.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 816.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 834.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 852.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 870.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 888.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 906.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [97.0, 924.0, 541.0, 18.0], shoonya_1sG18S40JSGWN2, 5741142]
[paragraph, [98.0, 955.0, 540.0, 18.0], 42YBtsjApz, 5741142]
[paragraph, [98.0, 973.0, 540.0, 18.0], 42YBtsjApz, 5741142]
[paragraph, [98.0, 991.0, 540.0, 18.0], 42YBtsjApz, 5741142]
[footnote, [418.0, 1108.0, 268.0, 18.0], _kS8RauqMM, 5741142]
