[792, 612]
[folio, [209.0, 47.0, 226.0, 18.0], SxwSMsTmNb, 5743776]
[paragraph, [114.0, 69.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 87.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 105.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 123.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 141.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 159.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 177.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 195.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 213.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 231.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 249.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 267.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 285.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [114.0, 303.0, 420.0, 18.0], shoonya_0sVQTRF2O86NOX, 5743776]
[paragraph, [116.0, 329.0, 418.0, 18.0], SUOPCCSObu, 5743776]
[paragraph, [116.0, 347.0, 418.0, 18.0], SUOPCCSObu, 5743776]
[paragraph, [116.0, 379.0, 415.0, 18.0], e9aEG6n2Sx, 5743776]
[paragraph, [116.0, 397.0, 415.0, 18.0], e9aEG6n2Sx, 5743776]
[paragraph, [116.0, 415.0, 415.0, 18.0], e9aEG6n2Sx, 5743776]
[paragraph, [112.0, 455.0, 418.0, 18.0], 9UxU5BpFTi, 5743776]
[paragraph, [112.0, 473.0, 418.0, 18.0], 9UxU5BpFTi, 5743776]
[paragraph, [112.0, 491.0, 418.0, 18.0], 9UxU5BpFTi, 5743776]
[paragraph, [112.0, 509.0, 418.0, 18.0], 9UxU5BpFTi, 5743776]
[paragraph, [112.0, 527.0, 418.0, 18.0], 9UxU5BpFTi, 5743776]
[paragraph, [112.0, 545.0, 418.0, 18.0], 9UxU5BpFTi, 5743776]
[paragraph, [113.0, 578.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
[paragraph, [113.0, 596.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
[paragraph, [113.0, 614.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
[paragraph, [113.0, 632.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
[paragraph, [113.0, 650.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
[paragraph, [113.0, 668.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
[paragraph, [113.0, 686.0, 420.0, 18.0], ZkQKmw8HrL, 5743776]
