[2200, 1700]
[folio, [768.0, 395.0, 153.0, 36.0], shoonya_2sKF1QDXLZ1DLF, 5732093]
[paragraph, [452.0, 481.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 517.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 553.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 589.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 625.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 661.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 697.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [452.0, 733.0, 795.0, 36.0], shoonya_1s2OUCNHE4NUPC, 5732093]
[paragraph, [454.0, 786.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 822.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 858.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 894.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 930.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 966.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 1002.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 1038.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 1074.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 1110.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [454.0, 1146.0, 789.0, 36.0], shoonya_0s86ZRHHIFJ2V7, 5732093]
[paragraph, [450.0, 1219.0, 799.0, 36.0], shoonya_3sQIOZWXX8YD1B, 5732093]
[paragraph, [450.0, 1255.0, 799.0, 36.0], shoonya_3sQIOZWXX8YD1B, 5732093]
[paragraph, [450.0, 1291.0, 799.0, 36.0], shoonya_3sQIOZWXX8YD1B, 5732093]
[paragraph, [450.0, 1327.0, 799.0, 36.0], shoonya_3sQIOZWXX8YD1B, 5732093]
[paragraph, [450.0, 1363.0, 799.0, 36.0], shoonya_3sQIOZWXX8YD1B, 5732093]
[paragraph, [450.0, 1399.0, 799.0, 36.0], shoonya_3sQIOZWXX8YD1B, 5732093]
[paragraph, [499.0, 1457.0, 573.0, 36.0], shoonya_6sBU0L3GXI5OXJ, 5732093]
[paragraph, [456.0, 1521.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[paragraph, [456.0, 1557.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[paragraph, [456.0, 1593.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[paragraph, [456.0, 1629.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[paragraph, [456.0, 1665.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[paragraph, [456.0, 1701.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[paragraph, [456.0, 1737.0, 794.0, 36.0], shoonya_7sW7PCVKDMULE0, 5732093]
[footnote, [1302.0, 2031.0, 225.0, 36.0], shoonya_4sO1OFGEFZXPCC, 5732093]
[footnote, [1302.0, 2067.0, 225.0, 36.0], shoonya_4sO1OFGEFZXPCC, 5732093]
[footnote, [1302.0, 2103.0, 225.0, 36.0], shoonya_4sO1OFGEFZXPCC, 5732093]
[folio, [802.0, 2104.0, 178.0, 36.0], -_xTmuHuqh, 5732093]
