[2084, 1667]
[section-title, [97.0, 66.0, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 118.5, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 171.0, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 223.5, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 276.0, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 328.5, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 381.0, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 433.5, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 486.0, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 538.5, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[section-title, [97.0, 591.0, 1477.0, 52.5], shoonya_0sO93MOLKAMOEB, 5716082]
[paragraph, [58.0, 693.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [58.0, 729.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [58.0, 765.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [58.0, 801.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [58.0, 837.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [58.0, 873.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [58.0, 909.0, 1514.0, 36.0], b78zsXPFUi, 5716082]
[paragraph, [83.0, 1073.0, 1506.0, 36.0], IuSPK_JiRn, 5716082]
[paragraph, [83.0, 1109.0, 1506.0, 36.0], IuSPK_JiRn, 5716082]
[paragraph, [83.0, 1145.0, 1506.0, 36.0], IuSPK_JiRn, 5716082]
[paragraph, [83.0, 1181.0, 1506.0, 36.0], IuSPK_JiRn, 5716082]
[paragraph, [83.0, 1217.0, 1506.0, 36.0], IuSPK_JiRn, 5716082]
[unordered-list, [93.0, 1277.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1313.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1349.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1385.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1421.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1457.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1493.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1529.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1565.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1601.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1637.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1673.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1709.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1745.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1781.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1817.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1853.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1889.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
[unordered-list, [93.0, 1925.0, 1066.0, 36.0], mMzZlAAINv, 5716082]
