[1787, 1218]
[paragraph, [91.0, 103.0, 998.0, 36.0], mDG69BJaGC, 5652463]
[paragraph, [91.0, 139.0, 998.0, 36.0], mDG69BJaGC, 5652463]
[paragraph, [102.0, 181.0, 991.0, 36.0], 0IPvwhXo4r, 5652463]
[paragraph, [102.0, 217.0, 991.0, 36.0], 0IPvwhXo4r, 5652463]
[paragraph, [102.0, 253.0, 991.0, 36.0], 0IPvwhXo4r, 5652463]
[paragraph, [102.0, 289.0, 991.0, 36.0], 0IPvwhXo4r, 5652463]
[paragraph, [162.0, 333.0, 771.0, 36.0], bE93_1RXCw, 5652463]
[paragraph, [105.0, 379.0, 989.0, 36.0], NgoaaCdl1J, 5652463]
[paragraph, [105.0, 415.0, 989.0, 36.0], NgoaaCdl1J, 5652463]
[paragraph, [102.0, 455.0, 992.0, 36.0], GzGupPNYE3, 5652463]
[paragraph, [102.0, 491.0, 992.0, 36.0], GzGupPNYE3, 5652463]
[paragraph, [106.0, 537.0, 989.0, 36.0], 7IRzi1iHF5, 5652463]
[paragraph, [106.0, 573.0, 989.0, 36.0], 7IRzi1iHF5, 5652463]
[paragraph, [106.0, 609.0, 989.0, 36.0], 7IRzi1iHF5, 5652463]
[paragraph, [106.0, 655.0, 988.0, 36.0], ncSKM3ws0q, 5652463]
[paragraph, [106.0, 691.0, 988.0, 36.0], ncSKM3ws0q, 5652463]
[paragraph, [105.0, 734.0, 991.0, 36.0], gfZ0GKmebr, 5652463]
[paragraph, [105.0, 770.0, 991.0, 36.0], gfZ0GKmebr, 5652463]
[paragraph, [105.0, 812.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [105.0, 848.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [105.0, 884.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [105.0, 920.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [105.0, 956.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [105.0, 992.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [105.0, 1028.0, 999.0, 36.0], shoonya_1sORD4N5AR1ZPU, 5652463]
[paragraph, [163.0, 1093.0, 847.0, 36.0], shoonya_0sTGP9LV8QJ96A, 5652463]
[paragraph, [112.0, 1130.0, 994.0, 36.0], Vj4UfJ90mR, 5652463]
[paragraph, [112.0, 1166.0, 994.0, 36.0], Vj4UfJ90mR, 5652463]
[paragraph, [112.0, 1202.0, 994.0, 36.0], Vj4UfJ90mR, 5652463]
[paragraph, [112.0, 1238.0, 994.0, 36.0], Vj4UfJ90mR, 5652463]
[paragraph, [105.0, 1294.0, 1003.0, 36.0], 2vHYyO3Wsn, 5652463]
[paragraph, [105.0, 1330.0, 1003.0, 36.0], 2vHYyO3Wsn, 5652463]
[paragraph, [103.0, 1374.0, 1004.0, 36.0], m-ueAAq4R8, 5652463]
[paragraph, [103.0, 1410.0, 1004.0, 36.0], m-ueAAq4R8, 5652463]
[paragraph, [115.0, 1456.0, 986.0, 36.0], hsvzgutDtN, 5652463]
[paragraph, [115.0, 1492.0, 986.0, 36.0], hsvzgutDtN, 5652463]
[paragraph, [100.0, 1533.0, 1017.0, 36.0], 8dTSWN1Z6l, 5652463]
[paragraph, [100.0, 1569.0, 1017.0, 36.0], 8dTSWN1Z6l, 5652463]
[footnote, [465.0, 1652.0, 226.0, 36.0], WeQ1fV_PRj, 5652463]
