[2339, 1653]
[folio, [235.0, 330.0, 270.0, 36.0], q0FFhYhRzK, 5735486]
[folio, [1273.0, 336.0, 142.0, 36.0], bvOgDlqs2D, 5735486]
[paragraph, [1098.0, 385.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 421.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 457.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 493.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 529.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 565.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 601.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 637.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 673.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[paragraph, [1098.0, 709.0, 317.0, 36.0], shoonya_7sXY2DQZ7CWZAE, 5735486]
[sidebar, [86.0, 388.0, 138.0, 36.0], K7z459bDUP, 5735486]
[paragraph, [237.0, 388.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[paragraph, [237.0, 424.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[paragraph, [237.0, 460.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[paragraph, [237.0, 496.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[paragraph, [237.0, 532.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[paragraph, [237.0, 568.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[paragraph, [237.0, 604.0, 579.0, 36.0], shoonya_3sB3P5RL0JFMOP, 5735486]
[author, [562.0, 659.0, 249.0, 36.0], shoonya_9sOXM4Z6Z8CDVK, 5735486]
[paragraph, [837.0, 747.0, 584.0, 36.0], shoonya_11s1L2LLPFNJZZ, 5735486]
[paragraph, [837.0, 783.0, 584.0, 36.0], shoonya_11s1L2LLPFNJZZ, 5735486]
[paragraph, [235.0, 800.0, 167.0, 36.0], m2pXMpED-Q, 5735486]
[paragraph, [836.0, 835.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 871.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 907.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 943.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 979.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1015.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1051.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1087.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1123.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1159.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1195.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [836.0, 1231.0, 578.0, 36.0], shoonya_0s2QEDBT8XKVMQ, 5735486]
[paragraph, [236.0, 881.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 917.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 953.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 989.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1025.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1061.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1097.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1133.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1169.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1205.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[paragraph, [236.0, 1241.0, 584.0, 36.0], shoonya_1sWLMSJ11YVDT5, 5735486]
[figure-caption, [415.0, 1910.0, 827.0, 36.0], shoonya_5s6Q1JIOHKAHOX, 5735486]
[folio, [1186.0, 1965.0, 231.0, 36.0], shoonya_14s20DJQO03ULB, 5735486]
