[2339, 1653]
[paragraph, [118.0, 151.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 187.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 223.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 259.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 295.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 331.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 367.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 403.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 439.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 475.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 511.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 547.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 583.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 619.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 655.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 691.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 727.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 763.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 799.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 835.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 871.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 907.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 943.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [118.0, 979.0, 1416.0, 36.0], NlYP-yw86p, 5750922]
[paragraph, [101.0, 1027.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1063.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1099.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1135.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1171.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1207.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1243.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1279.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1315.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1351.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1387.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1423.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1459.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1495.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1531.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1567.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1603.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1639.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1675.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1711.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [101.0, 1747.0, 1450.0, 36.0], X1O1MXiFrP, 5750922]
[paragraph, [111.0, 1815.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
[paragraph, [111.0, 1851.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
[paragraph, [111.0, 1887.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
[paragraph, [111.0, 1923.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
[paragraph, [111.0, 1959.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
[paragraph, [111.0, 1995.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
[paragraph, [111.0, 2031.0, 1450.0, 36.0], hVNX5EdE6z, 5750922]
