[1754, 1241]
[chapter-title, [342.0, 246.0, 379.0, 58.5], shoonya_11sVJRX0FVGMAY, 6472189]
[paragraph, [167.0, 374.0, 448.0, 36.0], shoonya_1sDVLNEBVC6AKJ, 6472189]
[paragraph, [167.0, 410.0, 448.0, 36.0], shoonya_1sDVLNEBVC6AKJ, 6472189]
[paragraph, [167.0, 446.0, 448.0, 36.0], shoonya_1sDVLNEBVC6AKJ, 6472189]
[paragraph, [167.0, 482.0, 448.0, 36.0], shoonya_1sDVLNEBVC6AKJ, 6472189]
[paragraph, [167.0, 518.0, 448.0, 36.0], shoonya_1sDVLNEBVC6AKJ, 6472189]
[paragraph, [625.0, 385.0, 267.0, 36.0], shoonya_15sPKIR9ME6JMN, 6472189]
[paragraph, [625.0, 421.0, 267.0, 36.0], shoonya_15sPKIR9ME6JMN, 6472189]
[paragraph, [625.0, 457.0, 267.0, 36.0], shoonya_15sPKIR9ME6JMN, 6472189]
[paragraph, [623.0, 492.0, 445.0, 36.0], shoonya_2s5TS4KXG7FH7I, 6472189]
[paragraph, [623.0, 528.0, 445.0, 36.0], shoonya_2s5TS4KXG7FH7I, 6472189]
[paragraph, [623.0, 564.0, 445.0, 36.0], shoonya_2s5TS4KXG7FH7I, 6472189]
[paragraph, [171.0, 554.0, 445.0, 36.0], shoonya_8sDDH7G33LEHQU, 6472189]
[paragraph, [172.0, 621.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 657.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 693.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 729.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 765.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 801.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 837.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [172.0, 873.0, 206.0, 36.0], shoonya_9sT53AYN05V7EF, 6472189]
[paragraph, [865.0, 635.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 671.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 707.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 743.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 779.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 815.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 851.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
[paragraph, [865.0, 887.0, 206.0, 36.0], shoonya_5s627EXV865R4W, 6472189]
