[612, 792]
[paragraph, [52.0, 70.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 88.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 106.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 124.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 142.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 160.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 178.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 196.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [52.0, 214.0, 297.0, 18.0], shoonya_6sIKEVZFFNJQLL, 5725705]
[paragraph, [443.0, 104.0, 296.0, 18.0], shoonya_5sVB2KLLPM2TEL, 5725705]
[paragraph, [442.0, 140.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 158.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 176.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 194.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 212.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 230.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 248.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [442.0, 266.0, 298.0, 18.0], shoonya_8sUXSP6CVD0P51, 5725705]
[paragraph, [50.0, 250.0, 299.0, 18.0], shoonya_4s0M1XITYCQCZ8, 5725705]
[paragraph, [50.0, 268.0, 299.0, 18.0], shoonya_4s0M1XITYCQCZ8, 5725705]
[paragraph, [50.0, 286.0, 299.0, 18.0], shoonya_4s0M1XITYCQCZ8, 5725705]
[paragraph, [50.0, 304.0, 299.0, 18.0], shoonya_4s0M1XITYCQCZ8, 5725705]
[paragraph, [443.0, 302.0, 296.0, 18.0], shoonya_0sC5BSRZY5E4KP, 5725705]
[paragraph, [443.0, 320.0, 296.0, 18.0], shoonya_0sC5BSRZY5E4KP, 5725705]
[paragraph, [443.0, 338.0, 296.0, 18.0], shoonya_0sC5BSRZY5E4KP, 5725705]
[paragraph, [443.0, 356.0, 296.0, 18.0], shoonya_0sC5BSRZY5E4KP, 5725705]
[paragraph, [52.0, 360.0, 296.0, 18.0], shoonya_3sECB9TNKN0CBQ, 5725705]
[paragraph, [52.0, 378.0, 296.0, 18.0], shoonya_3sECB9TNKN0CBQ, 5725705]
[paragraph, [52.0, 396.0, 296.0, 18.0], shoonya_3sECB9TNKN0CBQ, 5725705]
[paragraph, [52.0, 414.0, 296.0, 18.0], shoonya_3sECB9TNKN0CBQ, 5725705]
[paragraph, [442.0, 416.0, 298.0, 18.0], shoonya_11sTIBWTE0PJR1, 5725705]
[paragraph, [442.0, 434.0, 298.0, 18.0], shoonya_11sTIBWTE0PJR1, 5725705]
[paragraph, [442.0, 452.0, 298.0, 18.0], shoonya_11sTIBWTE0PJR1, 5725705]
[paragraph, [442.0, 470.0, 298.0, 18.0], shoonya_11sTIBWTE0PJR1, 5725705]
[paragraph, [52.0, 439.0, 296.0, 18.0], shoonya_1s04JBX23KWMI4, 5725705]
[paragraph, [52.0, 457.0, 296.0, 18.0], shoonya_1s04JBX23KWMI4, 5725705]
[paragraph, [52.0, 475.0, 296.0, 18.0], shoonya_1s04JBX23KWMI4, 5725705]
