[2094, 1538]
[folio, [44.0, 55.0, 206.0, 36.0], shoonya_6sJT55JKDO6CF7, 5712698]
[paragraph, [760.0, 128.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 164.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 200.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 236.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 272.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 308.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 344.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [760.0, 380.0, 725.0, 36.0], NX6257okeK, 5712698]
[paragraph, [40.0, 131.0, 724.0, 36.0], shoonya_0sZSCDUQSXIXZ6, 5712698]
[paragraph, [40.0, 167.0, 724.0, 36.0], shoonya_0sZSCDUQSXIXZ6, 5712698]
[paragraph, [40.0, 203.0, 724.0, 36.0], shoonya_0sZSCDUQSXIXZ6, 5712698]
[paragraph, [40.0, 239.0, 724.0, 36.0], shoonya_0sZSCDUQSXIXZ6, 5712698]
[paragraph, [40.0, 275.0, 724.0, 36.0], shoonya_0sZSCDUQSXIXZ6, 5712698]
[paragraph, [40.0, 311.0, 724.0, 36.0], shoonya_0sZSCDUQSXIXZ6, 5712698]
[paragraph, [39.0, 375.0, 724.0, 36.0], shoonya_1s0YFBAS853WEL, 5712698]
[paragraph, [39.0, 411.0, 724.0, 36.0], shoonya_1s0YFBAS853WEL, 5712698]
[paragraph, [39.0, 447.0, 724.0, 36.0], shoonya_1s0YFBAS853WEL, 5712698]
[paragraph, [39.0, 483.0, 724.0, 36.0], shoonya_1s0YFBAS853WEL, 5712698]
[paragraph, [39.0, 519.0, 724.0, 36.0], shoonya_1s0YFBAS853WEL, 5712698]
[paragraph, [764.0, 438.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 474.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 510.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 546.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 582.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 618.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 654.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 690.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 726.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 762.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 798.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 834.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 870.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 906.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 942.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 978.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 1014.0, 725.0, 36.0], bb0HYgN2es, 5712698]
[paragraph, [764.0, 1050.0, 725.0, 36.0], bb0HYgN2es, 5712698]
