[1754, 1241]
[section-title, [736.0, 245.0, 226.0, 49.5], shoonya_11sG40ZFK6VUKU, 6471740]
[paragraph, [166.0, 250.0, 451.0, 36.0], shoonya_8sIKEQVAWIC2RP, 6471740]
[author, [903.0, 318.0, 171.0, 36.0], shoonya_9s1DAO4S9712JV, 6471740]
[paragraph, [166.0, 320.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 356.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 392.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 428.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 464.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 500.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 536.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 572.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 608.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 644.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 680.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 716.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 752.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 788.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 824.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 860.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 896.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 932.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 968.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 1004.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 1040.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 1076.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [166.0, 1112.0, 456.0, 36.0], shoonya_1sAQIJCNVA8FXA, 6471740]
[paragraph, [626.0, 962.0, 440.0, 36.0], shoonya_2sD0NQPBX1JTDW, 6471740]
[paragraph, [626.0, 998.0, 440.0, 36.0], shoonya_2sD0NQPBX1JTDW, 6471740]
[paragraph, [631.0, 1053.0, 418.0, 36.0], DdJnULa42s, 6471740]
[paragraph, [631.0, 1089.0, 418.0, 36.0], DdJnULa42s, 6471740]
[paragraph, [631.0, 1125.0, 418.0, 36.0], DdJnULa42s, 6471740]
[paragraph, [631.0, 1161.0, 418.0, 36.0], DdJnULa42s, 6471740]
[paragraph, [167.0, 1152.0, 452.0, 36.0], shoonya_3s25US4F2UKFE0, 6471740]
[paragraph, [632.0, 1205.0, 420.0, 36.0], UgRfll3I6Y, 6471740]
[paragraph, [632.0, 1241.0, 420.0, 36.0], UgRfll3I6Y, 6471740]
[paragraph, [632.0, 1277.0, 420.0, 36.0], UgRfll3I6Y, 6471740]
[paragraph, [632.0, 1313.0, 420.0, 36.0], UgRfll3I6Y, 6471740]
[paragraph, [166.0, 1217.0, 452.0, 36.0], shoonya_6sTUF8N7I64LYP, 6471740]
[paragraph, [166.0, 1253.0, 452.0, 36.0], shoonya_6sTUF8N7I64LYP, 6471740]
[paragraph, [166.0, 1289.0, 452.0, 36.0], shoonya_6sTUF8N7I64LYP, 6471740]
[paragraph, [166.0, 1325.0, 452.0, 36.0], shoonya_6sTUF8N7I64LYP, 6471740]
[paragraph, [625.0, 1358.0, 439.0, 36.0], CBdglCgGSc, 6471740]
[paragraph, [625.0, 1394.0, 439.0, 36.0], CBdglCgGSc, 6471740]
[paragraph, [625.0, 1430.0, 439.0, 36.0], CBdglCgGSc, 6471740]
[paragraph, [625.0, 1466.0, 439.0, 36.0], CBdglCgGSc, 6471740]
[paragraph, [164.0, 1383.0, 451.0, 36.0], shoonya_10sZJ1P89U79VJ, 6471740]
[paragraph, [164.0, 1419.0, 451.0, 36.0], shoonya_10sZJ1P89U79VJ, 6471740]
[paragraph, [164.0, 1455.0, 451.0, 36.0], shoonya_10sZJ1P89U79VJ, 6471740]
[folio, [212.0, 1513.0, 46.0, 36.0], eXxxQGwWCd, 6471740]
