[888, 612]
[folio, [187.0, 20.0, 201.0, 18.0], G8qVGkBGvH, 6459710]
[folio, [187.0, 38.0, 201.0, 18.0], G8qVGkBGvH, 6459710]
[paragraph, [49.0, 73.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 91.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 109.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 127.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 145.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 163.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 181.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 199.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 217.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 235.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 253.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 271.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 289.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 307.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 325.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 343.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 361.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 379.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 397.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 415.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 433.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 451.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 469.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 487.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 505.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 523.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 541.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 559.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 577.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 595.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 613.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 631.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 649.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 667.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 685.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 703.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 721.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 739.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 757.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 775.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 793.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 811.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
[paragraph, [49.0, 829.0, 486.0, 18.0], shoonya_0sQQS9DRUT5KAA, 6459710]
