[792, 612]
[paragraph, [126.0, 93.0, 98.0, 18.0], DKjxTeyTQc, 6492340]
[paragraph, [120.0, 119.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 137.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 155.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 173.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 191.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 209.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 227.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 245.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [120.0, 263.0, 406.0, 18.0], 3kyUO2GJ5M, 6492340]
[paragraph, [126.0, 294.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 312.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 330.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 348.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 366.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 384.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 402.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 420.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 438.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 456.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 474.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 492.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 510.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 528.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 546.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [126.0, 564.0, 394.0, 18.0], Kd1PRU1jKz, 6492340]
[paragraph, [120.0, 604.0, 399.0, 18.0], _BXxn_MhI4, 6492340]
[paragraph, [120.0, 622.0, 399.0, 18.0], _BXxn_MhI4, 6492340]
[paragraph, [120.0, 640.0, 399.0, 18.0], _BXxn_MhI4, 6492340]
[paragraph, [120.0, 658.0, 399.0, 18.0], _BXxn_MhI4, 6492340]
[paragraph, [120.0, 676.0, 399.0, 18.0], _BXxn_MhI4, 6492340]
[paragraph, [120.0, 694.0, 399.0, 18.0], _BXxn_MhI4, 6492340]
[paragraph, [152.0, 719.0, 365.0, 18.0], C7cL-kHR5l, 6492340]
