[1650, 1275]
[paragraph, [113.0, 81.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [113.0, 117.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [113.0, 153.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [113.0, 189.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [113.0, 225.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [113.0, 261.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [113.0, 297.0, 342.0, 36.0], shoonya_2sVSDR3CGUUL80, 6472416]
[paragraph, [466.0, 81.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [466.0, 117.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [466.0, 153.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [466.0, 189.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [466.0, 225.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [466.0, 261.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [466.0, 297.0, 341.0, 36.0], shoonya_5s4JRWTQL0HASX, 6472416]
[paragraph, [821.0, 84.0, 341.0, 36.0], shoonya_6s867YIO42K721, 6472416]
[paragraph, [821.0, 120.0, 341.0, 36.0], shoonya_6s867YIO42K721, 6472416]
[paragraph, [821.0, 156.0, 341.0, 36.0], shoonya_6s867YIO42K721, 6472416]
[paragraph, [821.0, 192.0, 341.0, 36.0], shoonya_6s867YIO42K721, 6472416]
[paragraph, [821.0, 228.0, 341.0, 36.0], shoonya_6s867YIO42K721, 6472416]
[paragraph, [820.0, 267.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 303.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 339.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 375.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 411.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 447.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 483.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 519.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 555.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 591.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 627.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 663.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 699.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 735.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 771.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [820.0, 807.0, 339.0, 36.0], Jmpt2CnTSJ, 6472416]
[paragraph, [112.0, 384.0, 340.0, 36.0], shoonya_4sCP1YUTKBXG5M, 6472416]
[paragraph, [112.0, 420.0, 340.0, 36.0], shoonya_4sCP1YUTKBXG5M, 6472416]
[paragraph, [112.0, 456.0, 340.0, 36.0], shoonya_4sCP1YUTKBXG5M, 6472416]
[paragraph, [112.0, 492.0, 340.0, 36.0], shoonya_4sCP1YUTKBXG5M, 6472416]
[paragraph, [112.0, 528.0, 340.0, 36.0], shoonya_4sCP1YUTKBXG5M, 6472416]
[paragraph, [467.0, 385.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 421.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 457.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 493.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 529.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 565.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 601.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 637.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [467.0, 673.0, 338.0, 36.0], shoonya_1sV5BU9KZ31QKV, 6472416]
[paragraph, [112.0, 598.0, 344.0, 36.0], shoonya_3sQ99X7D46R3KO, 6472416]
[paragraph, [112.0, 634.0, 344.0, 36.0], shoonya_3sQ99X7D46R3KO, 6472416]
[paragraph, [112.0, 670.0, 344.0, 36.0], shoonya_3sQ99X7D46R3KO, 6472416]
[paragraph, [112.0, 706.0, 344.0, 36.0], shoonya_3sQ99X7D46R3KO, 6472416]
[paragraph, [112.0, 742.0, 344.0, 36.0], shoonya_3sQ99X7D46R3KO, 6472416]
[paragraph, [112.0, 778.0, 344.0, 36.0], shoonya_3sQ99X7D46R3KO, 6472416]
