[872, 605]
[folio, [446.0, 37.0, 103.0, 18.0], E-3vO1r4r1, 6456759]
[paragraph, [306.0, 75.0, 245.0, 18.0], patRpx4yAS, 6456759]
[paragraph, [306.0, 93.0, 245.0, 18.0], patRpx4yAS, 6456759]
[paragraph, [306.0, 111.0, 245.0, 18.0], patRpx4yAS, 6456759]
[paragraph, [306.0, 129.0, 245.0, 18.0], patRpx4yAS, 6456759]
[paragraph, [306.0, 147.0, 245.0, 18.0], patRpx4yAS, 6456759]
[paragraph, [306.0, 165.0, 245.0, 18.0], patRpx4yAS, 6456759]
[paragraph, [47.0, 78.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 96.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 114.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 132.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 150.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 168.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 186.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 204.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 222.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 240.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 258.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 276.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 294.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 312.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 330.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 348.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 366.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 384.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 402.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 420.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 438.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 456.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 474.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 492.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 510.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 528.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 546.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 564.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 582.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 600.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 618.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 636.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 654.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 672.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 690.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 708.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [47.0, 726.0, 255.0, 18.0], shoonya_0sBRHI2MNHUSLA, 6456759]
[paragraph, [302.0, 182.0, 246.0, 18.0], ew5ndFWwA_, 6456759]
[paragraph, [302.0, 200.0, 246.0, 18.0], ew5ndFWwA_, 6456759]
[paragraph, [302.0, 218.0, 246.0, 18.0], ew5ndFWwA_, 6456759]
[paragraph, [303.0, 235.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 253.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 271.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 289.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 307.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 325.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 343.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 361.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 379.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 397.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 415.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 433.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 451.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 469.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 487.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 505.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 523.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 541.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [303.0, 559.0, 249.0, 18.0], LLH_N-em6Z, 6456759]
[paragraph, [302.0, 579.0, 230.0, 18.0], oL5j3p4wjb, 6456759]
[paragraph, [302.0, 597.0, 230.0, 18.0], oL5j3p4wjb, 6456759]
[paragraph, [303.0, 616.0, 248.0, 18.0], xyFvztxgMx, 6456759]
[paragraph, [303.0, 634.0, 248.0, 18.0], xyFvztxgMx, 6456759]
[paragraph, [303.0, 649.0, 248.0, 18.0], sSeqVQCCMi, 6456759]
[paragraph, [303.0, 667.0, 248.0, 18.0], sSeqVQCCMi, 6456759]
[paragraph, [303.0, 685.0, 248.0, 18.0], sSeqVQCCMi, 6456759]
[paragraph, [303.0, 703.0, 248.0, 18.0], sSeqVQCCMi, 6456759]
[paragraph, [303.0, 733.0, 250.0, 18.0], HrsNBQgxTS, 6456759]
[paragraph, [303.0, 751.0, 250.0, 18.0], HrsNBQgxTS, 6456759]
[reference, [49.0, 758.0, 256.0, 18.0], i2QCilG-4d, 6456759]
[reference, [49.0, 776.0, 256.0, 18.0], i2QCilG-4d, 6456759]
[reference, [49.0, 794.0, 256.0, 18.0], i2QCilG-4d, 6456759]
[reference, [49.0, 812.0, 256.0, 18.0], i2QCilG-4d, 6456759]
[reference, [306.0, 776.0, 248.0, 18.0], IbJ2R72fTO, 6456759]
[reference, [306.0, 794.0, 248.0, 18.0], IbJ2R72fTO, 6456759]
[reference, [306.0, 812.0, 248.0, 18.0], IbJ2R72fTO, 6456759]
