[959, 611]
[paragraph, [10.0, 77.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 95.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 113.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 131.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 149.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 167.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 185.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 203.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 221.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 239.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 257.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 275.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 293.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 311.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [10.0, 329.0, 564.0, 18.0], shoonya_0sH4TXJOMFQFB8, 5773886]
[paragraph, [17.0, 353.0, 558.0, 18.0], shoonya_3sBY7S9OKENMS9, 5773886]
[paragraph, [17.0, 371.0, 558.0, 18.0], shoonya_3sBY7S9OKENMS9, 5773886]
[paragraph, [17.0, 389.0, 558.0, 18.0], shoonya_3sBY7S9OKENMS9, 5773886]
[paragraph, [17.0, 407.0, 558.0, 18.0], shoonya_3sBY7S9OKENMS9, 5773886]
[paragraph, [17.0, 425.0, 558.0, 18.0], shoonya_3sBY7S9OKENMS9, 5773886]
[paragraph, [27.0, 442.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 460.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 478.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 496.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 514.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 532.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 550.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 568.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 586.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 604.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 622.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 640.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 658.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 676.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 694.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 712.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 730.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 748.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 766.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 784.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 802.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 820.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 838.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 856.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 874.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 892.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
[paragraph, [27.0, 910.0, 565.0, 18.0], shoonya_2sNGRDM6FW81BN, 5773886]
