[792, 561]
[paragraph, [78.0, 129.0, 373.0, 18.0], shoonya_5sLY2UP4WKT86F, 5707346]
[paragraph, [41.0, 148.0, 457.0, 18.0], shoonya_0sTBDYIK4Q3T6R, 5707346]
[paragraph, [38.0, 205.0, 455.0, 18.0], shoonya_6s0BZ4HU2KPQN4, 5707346]
[paragraph, [38.0, 223.0, 455.0, 18.0], shoonya_6s0BZ4HU2KPQN4, 5707346]
[placeholder-text, [359.0, 243.0, 89.0, 18.0], shoonya_13sPIREVYNJZW9, 5707346]
[placeholder-text, [359.0, 261.0, 89.0, 18.0], shoonya_13sPIREVYNJZW9, 5707346]
[placeholder-text, [359.0, 279.0, 89.0, 18.0], shoonya_13sPIREVYNJZW9, 5707346]
[placeholder-text, [359.0, 297.0, 89.0, 18.0], shoonya_13sPIREVYNJZW9, 5707346]
[ordered-list, [41.0, 355.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 373.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 391.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 409.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 427.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 445.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 463.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 481.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 499.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 517.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 535.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 553.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 571.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 589.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 607.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 625.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 643.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 661.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 679.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[ordered-list, [41.0, 697.0, 476.0, 18.0], zGBy4pHF1j, 5707346]
[sub-ordered-list, [72.0, 459.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 477.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 495.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 513.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 531.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 549.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 567.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 585.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 603.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 621.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 639.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 657.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 675.0, 435.0, 18.0], lDTIH67gKL, 5707346]
[sub-ordered-list, [72.0, 693.0, 435.0, 18.0], lDTIH67gKL, 5707346]
