[1387, 987]
[paragraph, [50.0, 85.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 103.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 121.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 139.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 157.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 175.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 193.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 211.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 229.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [50.0, 247.0, 857.0, 18.0], shoonya_0s0ZCW1MA5HTKB, 5652722]
[paragraph, [20.0, 271.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [20.0, 289.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [20.0, 307.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [20.0, 325.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [20.0, 343.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [20.0, 361.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [20.0, 379.0, 920.0, 18.0], I-6aZQ3x0Q, 5652722]
[paragraph, [45.0, 389.0, 909.0, 18.0], CDyv19rybU, 5652722]
[paragraph, [45.0, 407.0, 909.0, 18.0], CDyv19rybU, 5652722]
[paragraph, [45.0, 425.0, 909.0, 18.0], CDyv19rybU, 5652722]
[paragraph, [45.0, 443.0, 909.0, 18.0], CDyv19rybU, 5652722]
[paragraph, [28.0, 462.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 480.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 498.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 516.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 534.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 552.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 570.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 588.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 606.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 624.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 642.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 660.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 678.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 696.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 714.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [28.0, 732.0, 929.0, 18.0], MMEhj7nY87, 5652722]
[paragraph, [30.0, 759.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 777.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 795.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 813.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 831.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 849.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 867.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 885.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 903.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 921.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 939.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 957.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 975.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 993.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1011.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1029.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1047.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1065.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1083.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1101.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1119.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1137.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1155.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
[paragraph, [30.0, 1173.0, 880.0, 18.0], i_vo7FZ_Rn, 5652722]
