[1650, 1275]
[ordered-list, [179.0, 86.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 122.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 158.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 194.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 230.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 266.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 302.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 338.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 374.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 410.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[ordered-list, [179.0, 446.0, 1017.0, 36.0], pcB8E1f2J0, 5728664]
[section-title, [232.0, 500.0, 426.0, 49.5], evVfR38sq0, 5728664]
[sub-section-title, [145.0, 572.0, 369.0, 36.0], pjFLzi-bQa, 5728664]
[sidebar, [547.0, 574.0, 144.0, 36.0], VhGZ7Cin5J, 5728664]
[ordered-list, [178.0, 657.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 693.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 729.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 765.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 801.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 837.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 873.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 909.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 945.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 981.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1017.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1053.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1089.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1125.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1161.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1197.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[ordered-list, [178.0, 1233.0, 614.0, 36.0], OLFJQru6CK, 5728664]
[sub-section-title, [151.0, 1320.0, 272.0, 36.0], yncU7bnKla, 5728664]
[ordered-list, [195.0, 1372.0, 717.0, 36.0], 6LUaJUIm98, 5728664]
[ordered-list, [195.0, 1408.0, 717.0, 36.0], 6LUaJUIm98, 5728664]
[ordered-list, [195.0, 1444.0, 717.0, 36.0], 6LUaJUIm98, 5728664]
[ordered-list, [195.0, 1480.0, 717.0, 36.0], 6LUaJUIm98, 5728664]
[ordered-list, [195.0, 1516.0, 717.0, 36.0], 6LUaJUIm98, 5728664]
