[1736, 1323]
[headline, [140.0, 150.0, 1042.0, 37.5], shoonya_6s0THYB1X75PSN, 5771709]
[headline, [140.0, 187.5, 1042.0, 37.5], shoonya_6s0THYB1X75PSN, 5771709]
[section-title, [779.0, 276.0, 306.0, 49.5], Omw840Z8hh, 5771709]
[paragraph, [125.0, 297.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 333.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 369.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 405.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 441.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 477.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 513.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 549.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [125.0, 585.0, 528.0, 36.0], shoonya_5sTXVXMN6QRT9M, 5771709]
[paragraph, [654.0, 331.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 367.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 403.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 439.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 475.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 511.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 547.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[paragraph, [654.0, 583.0, 553.0, 36.0], shoonya_1sJS9V5VPO4I99, 5771709]
[section-title, [678.0, 658.0, 517.0, 49.5], shoonya_15sN1UMDBNNGOX, 5771709]
[paragraph, [125.0, 667.0, 529.0, 36.0], shoonya_4s2QCYKY8ITGGU, 5771709]
[paragraph, [125.0, 703.0, 529.0, 36.0], shoonya_4s2QCYKY8ITGGU, 5771709]
[paragraph, [125.0, 739.0, 529.0, 36.0], shoonya_4s2QCYKY8ITGGU, 5771709]
[paragraph, [125.0, 775.0, 529.0, 36.0], shoonya_4s2QCYKY8ITGGU, 5771709]
[paragraph, [125.0, 811.0, 529.0, 36.0], shoonya_4s2QCYKY8ITGGU, 5771709]
[paragraph, [125.0, 847.0, 529.0, 36.0], shoonya_4s2QCYKY8ITGGU, 5771709]
[paragraph, [667.0, 758.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 794.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 830.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 866.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 902.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 938.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 974.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 1010.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 1046.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [667.0, 1082.0, 535.0, 36.0], shoonya_7sH6SON62I8FWK, 5771709]
[paragraph, [666.0, 1144.0, 541.0, 36.0], shoonya_0s00NSW2NSHN53, 5771709]
[paragraph, [666.0, 1180.0, 541.0, 36.0], shoonya_0s00NSW2NSHN53, 5771709]
[paragraph, [666.0, 1216.0, 541.0, 36.0], shoonya_0s00NSW2NSHN53, 5771709]
[paragraph, [666.0, 1252.0, 541.0, 36.0], shoonya_0s00NSW2NSHN53, 5771709]
[paragraph, [666.0, 1288.0, 541.0, 36.0], shoonya_0s00NSW2NSHN53, 5771709]
[paragraph, [657.0, 1340.0, 554.0, 36.0], shoonya_2s7NPNKYM36C9O, 5771709]
[paragraph, [657.0, 1376.0, 554.0, 36.0], shoonya_2s7NPNKYM36C9O, 5771709]
[paragraph, [657.0, 1412.0, 554.0, 36.0], shoonya_2s7NPNKYM36C9O, 5771709]
[paragraph, [657.0, 1448.0, 554.0, 36.0], shoonya_2s7NPNKYM36C9O, 5771709]
[paragraph, [657.0, 1484.0, 554.0, 36.0], shoonya_2s7NPNKYM36C9O, 5771709]
[figure-caption, [146.0, 1513.0, 474.0, 36.0], shoonya_9sDSR6NLON88WI, 5771709]
[folio, [593.0, 1573.0, 158.0, 36.0], shoonya_17s34LI39QI22Q, 5771709]
[folio, [57.0, 1681.0, 218.0, 36.0], shoonya_10sPAJZX9POFI5, 5771709]
