[1754, 1241]
[sub-section-title, [347.0, 227.0, 600.0, 36.0], O3K0-94Qof, 5728343]
[paragraph, [218.0, 403.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 439.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 475.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 511.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 547.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 583.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 619.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 655.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 691.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 727.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 763.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [218.0, 799.0, 869.0, 36.0], shoonya_0s16R84T9Z5TE2, 5728343]
[paragraph, [214.0, 854.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 890.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 926.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 962.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 998.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 1034.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 1070.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 1106.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 1142.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 1178.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[paragraph, [214.0, 1214.0, 877.0, 36.0], shoonya_1sC0EWVHAP2YK2, 5728343]
[author, [638.0, 1321.0, 431.0, 36.0], shoonya_3s290XD5XNU7Y8, 5728343]
[author, [638.0, 1357.0, 431.0, 36.0], shoonya_3s290XD5XNU7Y8, 5728343]
[author, [638.0, 1393.0, 431.0, 36.0], shoonya_3s290XD5XNU7Y8, 5728343]
